OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id_ESPN,player_name_ESPN,team
CHI,L121-107,25.0,61.5,83.3,66.7,1.0,6.0,1.0,0.0,1.0,0.0,23.0,8,13,5,6,2,3,away,2022-11-21,2022,2566769,MalcolmBrogdon,bos
NO,W117-109,18.0,12.5,20.0,100.0,4.0,4.0,0.0,1.0,1.0,1.0,5.0,1,8,1,5,2,2,away,2022-11-18,2022,2566769,MalcolmBrogdon,bos
DET,W128-112,14.0,75.0,50.0,50.0,2.0,1.0,1.0,0.0,0.0,4.0,9.0,3,4,1,2,2,4,home,2022-11-09,2022,2566769,MalcolmBrogdon,bos
MEM,W109-106,19.0,25.0,28.6,0.0,10.0,4.0,0.0,0.0,0.0,1.0,8.0,3,12,2,7,0,0,away,2022-11-07,2022,2566769,MalcolmBrogdon,bos
NY,W133-118,28.0,35.7,40.0,100.0,5.0,5.0,0.0,2.0,1.0,1.0,14.0,5,14,2,5,2,2,away,2022-11-05,2022,2566769,MalcolmBrogdon,bos
CHI,W123-119,29.0,90.0,0.0,77.8,2.0,4.0,1.0,0.0,2.0,4.0,25.0,9,10,0,0,7,9,home,2022-11-04,2022,2566769,MalcolmBrogdon,bos
CLE,L114-113 OT,24.0,54.5,33.3,100.0,4.0,3.0,0.0,0.0,1.0,3.0,15.0,6,11,1,3,2,2,away,2022-11-02,2022,2566769,MalcolmBrogdon,bos
WSH,W112-94,23.0,50.0,60.0,100.0,2.0,4.0,0.0,0.0,0.0,0.0,23.0,6,12,3,5,8,8,home,2022-10-30,2022,2566769,MalcolmBrogdon,bos
CLE,L132-123 OT,22.0,60.0,100.0,100.0,2.0,5.0,0.0,1.0,3.0,1.0,9.0,3,5,1,1,2,2,home,2022-10-28,2022,2566769,MalcolmBrogdon,bos
CHI,L120-102,22.0,38.5,33.3,0.0,6.0,2.0,0.0,1.0,2.0,3.0,12.0,5,13,2,6,0,0,away,2022-10-24,2022,2566769,MalcolmBrogdon,bos
ORL,W126-120,21.0,40.0,25.0,80.0,2.0,4.0,0.0,0.0,1.0,2.0,13.0,4,10,1,4,4,5,away,2022-10-22,2022,2566769,MalcolmBrogdon,bos
