Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A▲,NRtg/A
1,Golden State Warriors,W,P,7,1,.875,13.75,110.80,97.05,13.76,10.29,108.20,97.98,10.22
2,Denver Nuggets,W,NW,5,4,.556,1.89,103.17,101.30,1.87,-0.07,101.21,101.31,-0.10
3,Miami Heat,E,SE,7,2,.778,11.44,114.54,103.20,11.34,11.43,113.33,101.93,11.40
4,Brooklyn Nets,E,A,6,3,.667,1.67,105.55,103.69,1.86,1.79,104.52,102.56,1.96
5,Los Angeles Clippers,W,P,4,4,.500,3.25,104.63,101.97,2.66,2.11,104.58,103.16,1.43
6,Toronto Raptors,E,A,6,4,.600,4.50,109.82,105.09,4.73,5.60,110.33,104.48,5.85
7,Utah Jazz,W,NW,7,2,.778,10.89,115.64,104.47,11.16,11.33,116.10,104.50,11.60
8,Washington Wizards,E,SE,6,3,.667,4.11,109.98,106.04,3.94,5.19,109.73,104.63,5.10
9,Chicago Bulls,E,C,6,3,.667,5.22,110.80,105.66,5.14,5.36,110.09,104.74,5.34
10,Cleveland Cavaliers,E,C,6,4,.600,-0.50,107.40,107.76,-0.37,-0.51,105.93,106.31,-0.38
11,Boston Celtics,E,A,4,6,.400,-1.40,106.48,107.72,-1.24,-0.03,106.83,106.67,0.15
12,Portland Trail Blazers,W,NW,5,5,.500,2.90,111.61,108.54,3.07,3.63,110.41,106.67,3.74
13,San Antonio Spurs,W,SW,3,6,.333,1.00,106.09,104.98,1.11,-2.02,105.18,107.11,-1.93
14,Indiana Pacers,E,C,3,7,.300,-0.70,109.81,110.54,-0.72,2.59,111.14,108.46,2.69
15,Sacramento Kings,W,P,5,4,.556,2.22,112.57,110.34,2.23,3.32,112.26,108.90,3.36
16,Detroit Pistons,E,C,1,8,.111,-12.33,97.93,110.57,-12.64,-10.58,98.17,109.02,-10.85
17,Dallas Mavericks,W,SW,6,3,.667,-4.33,104.47,108.77,-4.31,-3.72,105.75,109.39,-3.64
18,Milwaukee Bucks,E,C,4,5,.444,-1.33,107.83,109.14,-1.31,-0.49,108.97,109.42,-0.46
19,Oklahoma City Thunder,W,NW,2,6,.250,-11.13,99.10,110.24,-11.14,-8.15,101.54,109.70,-8.16
20,Los Angeles Lakers,W,P,5,5,.500,-1.20,106.61,107.65,-1.05,-3.84,106.23,109.91,-3.68
21,Houston Rockets,W,SW,1,8,.111,-6.78,101.34,108.15,-6.81,-8.80,101.21,110.02,-8.80
22,New York Knicks,E,A,6,3,.667,4.00,114.21,110.08,4.14,3.08,113.29,110.08,3.21
23,Phoenix Suns,W,P,5,3,.625,0.38,109.36,109.03,0.33,-1.91,108.75,110.71,-1.96
24,Minnesota Timberwolves,W,NW,3,5,.375,-3.75,102.36,106.28,-3.92,-8.01,102.32,110.78,-8.46
25,Philadelphia 76ers,E,A,8,2,.800,8.50,117.56,108.77,8.80,6.29,117.33,110.80,6.53
26,Orlando Magic,E,SE,2,8,.200,-8.70,102.53,111.56,-9.03,-8.73,102.27,111.29,-9.02
27,Atlanta Hawks,E,SE,4,6,.400,-2.20,110.22,112.57,-2.36,-1.91,110.65,112.70,-2.05
28,New Orleans Pelicans,W,SW,1,9,.100,-11.30,103.14,114.64,-11.49,-10.12,102.48,112.86,-10.38
29,Charlotte Hornets,E,SE,5,5,.500,-3.20,112.19,115.18,-2.99,-0.87,114.46,115.07,-0.61
30,Memphis Grizzlies,W,SW,5,4,.556,-5.11,108.92,114.07,-5.15,-1.98,113.20,115.29,-2.08
