,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
0,MIL,L118-107,37.0,58.3,40.0,80.0,2.0,3.0,0.0,3.0,3.0,3.0,20.0,7.0,12.0,2.0,5.0,4.0,5.0,home,2021-07-03,2020,3037789,BogdanBogdanovic,atl
2,MIL,L123-112,39.0,45.5,43.8,100.0,5.0,4.0,0.0,0.0,3.0,0.0,28.0,10.0,22.0,7.0,16.0,1.0,1.0,away,2021-07-01,2020,3037789,BogdanBogdanovic,atl
4,MIL,W110-88,33.0,36.8,42.9,0.0,3.0,5.0,0.0,4.0,4.0,2.0,20.0,7.0,19.0,6.0,14.0,0.0,0.0,home,2021-06-29,2020,3037789,BogdanBogdanovic,atl
6,MIL,L113-102,35.0,18.8,20.0,0.0,2.0,3.0,1.0,3.0,1.0,1.0,8.0,3.0,16.0,2.0,10.0,0.0,0.0,home,2021-06-27,2020,3037789,BogdanBogdanovic,atl
8,MIL,L125-91,18.0,50.0,50.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,8.0,3.0,6.0,2.0,4.0,0.0,0.0,away,2021-06-25,2020,3037789,BogdanBogdanovic,atl
10,MIL,W116-113,27.0,16.7,0.0,100.0,3.0,2.0,0.0,3.0,2.0,2.0,4.0,1.0,6.0,0.0,2.0,2.0,2.0,away,2021-06-23,2020,3037789,BogdanBogdanovic,atl
0,PHI,W103-96,21.0,25.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,4.0,2.0,8.0,0.0,4.0,0.0,0.0,away,2021-06-20,2020,3037789,BogdanBogdanovic,atl
2,PHI,L104-99,29.0,27.3,16.7,0.0,2.0,1.0,1.0,2.0,2.0,3.0,7.0,3.0,11.0,1.0,6.0,0.0,2.0,home,2021-06-18,2020,3037789,BogdanBogdanovic,atl
4,PHI,W109-106,21.0,33.3,0.0,0.0,3.0,1.0,0.0,1.0,5.0,2.0,6.0,3.0,9.0,0.0,4.0,0.0,0.0,away,2021-06-16,2020,3037789,BogdanBogdanovic,atl
6,PHI,W103-100,42.0,37.5,30.8,0.0,5.0,0.0,0.0,0.0,1.0,1.0,22.0,9.0,24.0,4.0,13.0,0.0,1.0,home,2021-06-14,2020,3037789,BogdanBogdanovic,atl
8,PHI,L127-111,39.0,53.8,40.0,75.0,4.0,1.0,0.0,1.0,3.0,4.0,19.0,7.0,13.0,2.0,5.0,3.0,4.0,home,2021-06-11,2020,3037789,BogdanBogdanovic,atl
10,PHI,L118-102,41.0,37.5,33.3,0.0,7.0,2.0,0.0,1.0,3.0,2.0,14.0,6.0,16.0,2.0,6.0,0.0,0.0,away,2021-06-08,2020,3037789,BogdanBogdanovic,atl
12,PHI,W128-124,36.0,41.2,41.7,100.0,4.0,5.0,0.0,1.0,3.0,3.0,21.0,7.0,17.0,5.0,12.0,2.0,2.0,away,2021-06-06,2020,3037789,BogdanBogdanovic,atl
0,NY,W103-89,35.0,36.4,14.3,0.0,7.0,5.0,1.0,2.0,4.0,0.0,9.0,4.0,11.0,1.0,7.0,0.0,0.0,away,2021-06-02,2020,3037789,BogdanBogdanovic,atl
2,NY,W113-96,35.0,36.4,44.4,0.0,8.0,6.0,0.0,2.0,2.0,2.0,12.0,4.0,11.0,4.0,9.0,0.0,0.0,home,2021-05-30,2020,3037789,BogdanBogdanovic,atl
4,NY,W105-94,39.0,50.0,75.0,0.0,8.0,3.0,0.0,1.0,4.0,1.0,15.0,6.0,12.0,3.0,4.0,0.0,0.0,home,2021-05-28,2020,3037789,BogdanBogdanovic,atl
6,NY,L101-92,35.0,38.1,15.4,0.0,6.0,3.0,2.0,0.0,2.0,0.0,18.0,8.0,21.0,2.0,13.0,0.0,0.0,away,2021-05-26,2020,3037789,BogdanBogdanovic,atl
8,NY,W107-105,34.0,46.7,44.4,0.0,4.0,2.0,0.0,2.0,4.0,1.0,18.0,7.0,15.0,4.0,9.0,0.0,0.0,away,2021-05-23,2020,3037789,BogdanBogdanovic,atl
0,ORL,W116-93,26.0,75.0,57.1,100.0,3.0,5.0,0.0,2.0,1.0,1.0,27.0,9.0,12.0,4.0,7.0,5.0,5.0,home,2021-05-13,2020,3037789,BogdanBogdanovic,atl
1,WSH,W120-116,40.0,53.3,40.0,0.0,2.0,3.0,1.0,3.0,4.0,1.0,20.0,8.0,15.0,4.0,10.0,0.0,0.0,home,2021-05-12,2020,3037789,BogdanBogdanovic,atl
2,WSH,W125-124,36.0,47.1,58.3,100.0,5.0,4.0,0.0,2.0,3.0,0.0,25.0,8.0,17.0,7.0,12.0,2.0,2.0,home,2021-05-10,2020,3037789,BogdanBogdanovic,atl
3,IND,L133-126,39.0,61.1,60.0,0.0,2.0,2.0,0.0,1.0,3.0,1.0,28.0,11.0,18.0,6.0,10.0,0.0,0.0,away,2021-05-06,2020,3037789,BogdanBogdanovic,atl
