,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
0,LAL,L126-101,23.0,62.5,0.0,100.0,3.0,2.0,3.0,0.0,3.0,2.0,12.0,5.0,8.0,0.0,0.0,2.0,2.0,home,2021-04-10,2020,2983,LaMarcusAldridge,bkn
1,NO,W139-111,23.0,66.7,100.0,100.0,3.0,2.0,2.0,0.0,2.0,2.0,22.0,8.0,12.0,2.0,2.0,4.0,4.0,home,2021-04-07,2020,2983,LaMarcusAldridge,bkn
2,NY,W114-112,29.0,37.5,0.0,100.0,6.0,2.0,2.0,1.0,2.0,2.0,8.0,3.0,8.0,0.0,1.0,2.0,2.0,home,2021-04-05,2020,2983,LaMarcusAldridge,bkn
3,CHI,L115-107,26.0,50.0,100.0,0.0,3.0,1.0,3.0,0.0,2.0,1.0,11.0,5.0,10.0,1.0,1.0,0.0,0.0,away,2021-04-04,2020,2983,LaMarcusAldridge,bkn
4,CHA,W111-89,30.0,40.0,100.0,100.0,9.0,6.0,1.0,2.0,2.0,0.0,11.0,4.0,10.0,1.0,1.0,2.0,2.0,home,2021-04-01,2020,2983,LaMarcusAldridge,bkn
0,BKN,L124-113 OT,15.0,0.0,0.0,100.0,4.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,3.0,0.0,2.0,2.0,2.0,home,2021-03-01,2020,2983,LaMarcusAldridge,bkn
0,NO,W117-114,23.0,50.0,33.3,100.0,5.0,0.0,1.0,0.0,5.0,0.0,21.0,5.0,10.0,1.0,3.0,10.0,10.0,home,2021-02-27,2020,2983,LaMarcusAldridge,bkn
1,OKC,L102-99,26.0,30.0,66.7,75.0,7.0,1.0,1.0,1.0,1.0,2.0,11.0,3.0,10.0,2.0,3.0,3.0,4.0,away,2021-02-24,2020,2983,LaMarcusAldridge,bkn
2,MEM,L133-102,18.0,62.5,50.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,12.0,5.0,8.0,2.0,4.0,0.0,0.0,home,2021-02-01,2020,2983,LaMarcusAldridge,bkn
0,MEM,L129-112,26.0,71.4,100.0,100.0,5.0,2.0,1.0,0.0,1.0,0.0,14.0,5.0,7.0,2.0,2.0,2.0,2.0,home,2021-01-30,2020,2983,LaMarcusAldridge,bkn
1,DEN,W119-109,22.0,33.3,100.0,100.0,3.0,3.0,0.0,0.0,1.0,0.0,5.0,1.0,3.0,1.0,1.0,2.0,2.0,home,2021-01-29,2020,2983,LaMarcusAldridge,bkn
2,BOS,W110-106,28.0,57.1,50.0,25.0,3.0,2.0,2.0,0.0,1.0,0.0,20.0,8.0,14.0,3.0,6.0,1.0,4.0,home,2021-01-27,2020,2983,LaMarcusAldridge,bkn
3,WSH,W121-101,24.0,53.8,33.3,0.0,2.0,0.0,2.0,0.0,1.0,0.0,15.0,7.0,13.0,1.0,3.0,0.0,0.0,home,2021-01-24,2020,2983,LaMarcusAldridge,bkn
4,DAL,L122-117,30.0,61.1,57.1,0.0,9.0,2.0,1.0,0.0,1.0,1.0,26.0,11.0,18.0,4.0,7.0,0.0,0.0,home,2021-01-22,2020,2983,LaMarcusAldridge,bkn
