,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
0,POR,L129-119,35.0,27.3,11.1,75.0,11.0,4.0,0.0,0.0,4.0,3.0,16.0,6.0,22.0,1.0,9.0,3.0,4.0,home,2021-05-02,2020,3917376,JaylenBrown,bos
0,SA,W143-140 OT,44.0,20.8,33.3,60.0,5.0,2.0,2.0,2.0,3.0,4.0,17.0,5.0,24.0,4.0,12.0,3.0,5.0,home,2021-04-30,2020,3917376,JaylenBrown,bos
1,CHA,W120-111,37.0,56.5,53.8,83.3,7.0,4.0,1.0,0.0,3.0,1.0,38.0,13.0,23.0,7.0,13.0,5.0,6.0,home,2021-04-28,2020,3917376,JaylenBrown,bos
2,OKC,L119-115,38.0,50.0,36.4,100.0,11.0,3.0,0.0,4.0,3.0,3.0,39.0,13.0,26.0,4.0,11.0,9.0,9.0,home,2021-04-27,2020,3917376,JaylenBrown,bos
3,CHA,L125-104,35.0,36.4,28.6,100.0,8.0,2.0,0.0,2.0,1.0,3.0,20.0,8.0,22.0,2.0,7.0,2.0,2.0,away,2021-04-25,2020,3917376,JaylenBrown,bos
4,CHI,L102-96,37.0,66.7,75.0,0.0,4.0,1.0,0.0,1.0,4.0,2.0,23.0,10.0,15.0,3.0,4.0,0.0,0.0,home,2021-04-19,2020,3917376,JaylenBrown,bos
5,LAL,W121-113,32.0,85.0,60.0,100.0,9.0,3.0,0.0,1.0,2.0,6.0,40.0,17.0,20.0,3.0,5.0,3.0,3.0,away,2021-04-15,2020,3917376,JaylenBrown,bos
6,POR,W116-115,40.0,42.9,42.9,75.0,4.0,2.0,0.0,1.0,4.0,1.0,24.0,9.0,21.0,3.0,7.0,3.0,4.0,away,2021-04-13,2020,3917376,JaylenBrown,bos
7,DEN,W105-87,36.0,53.3,28.6,66.7,8.0,3.0,2.0,0.0,3.0,0.0,20.0,8.0,15.0,2.0,7.0,2.0,3.0,away,2021-04-11,2020,3917376,JaylenBrown,bos
8,MIN,W145-136 OT,44.0,60.0,44.4,100.0,5.0,3.0,2.0,2.0,5.0,5.0,26.0,9.0,15.0,4.0,9.0,4.0,4.0,home,2021-04-09,2020,3917376,JaylenBrown,bos
9,NY,W101-99,36.0,46.2,38.5,42.9,10.0,3.0,1.0,2.0,1.0,2.0,32.0,12.0,26.0,5.0,13.0,3.0,7.0,home,2021-04-07,2020,3917376,JaylenBrown,bos
10,PHI,L106-96,33.0,60.0,42.9,100.0,3.0,0.0,1.0,0.0,4.0,3.0,17.0,6.0,10.0,3.0,7.0,2.0,2.0,home,2021-04-06,2020,3917376,JaylenBrown,bos
11,CHA,W116-86,26.0,46.2,62.5,0.0,6.0,1.0,1.0,0.0,2.0,1.0,17.0,6.0,13.0,5.0,8.0,0.0,0.0,home,2021-04-04,2020,3917376,JaylenBrown,bos
12,HOU,W118-102,27.0,45.0,50.0,75.0,11.0,2.0,0.0,2.0,3.0,1.0,22.0,9.0,20.0,1.0,2.0,3.0,4.0,home,2021-04-02,2020,3917376,JaylenBrown,bos
0,DAL,L113-108,37.0,52.9,36.4,50.0,4.0,1.0,0.0,4.0,2.0,3.0,24.0,9.0,17.0,4.0,11.0,2.0,4.0,home,2021-03-31,2020,3917376,JaylenBrown,bos
1,OKC,W111-94,30.0,39.1,30.0,100.0,3.0,0.0,0.0,0.0,4.0,4.0,25.0,9.0,23.0,3.0,10.0,4.0,4.0,away,2021-03-27,2020,3917376,JaylenBrown,bos
2,MIL,W122-114,30.0,40.0,44.4,100.0,5.0,2.0,0.0,1.0,2.0,2.0,18.0,6.0,15.0,4.0,9.0,2.0,2.0,away,2021-03-26,2020,3917376,JaylenBrown,bos
3,MIL,L121-119,34.0,62.5,57.1,0.0,10.0,2.0,0.0,0.0,0.0,2.0,24.0,10.0,16.0,4.0,7.0,0.0,0.0,away,2021-03-24,2020,3917376,JaylenBrown,bos
4,MEM,L132-126 OT,40.0,45.8,27.3,66.7,9.0,5.0,1.0,1.0,4.0,3.0,27.0,11.0,24.0,3.0,11.0,2.0,3.0,away,2021-03-22,2020,3917376,JaylenBrown,bos
5,ORL,W112-96,33.0,50.0,52.6,0.0,4.0,3.0,0.0,1.0,4.0,0.0,34.0,12.0,24.0,10.0,19.0,0.0,0.0,home,2021-03-21,2020,3917376,JaylenBrown,bos
6,SAC,L107-96,35.0,40.0,60.0,0.0,11.0,3.0,1.0,3.0,4.0,5.0,19.0,8.0,20.0,3.0,5.0,0.0,0.0,home,2021-03-19,2020,3917376,JaylenBrown,bos
7,CLE,L117-110,39.0,42.3,20.0,50.0,3.0,4.0,3.0,2.0,4.0,2.0,28.0,11.0,26.0,2.0,10.0,4.0,8.0,away,2021-03-17,2020,3917376,JaylenBrown,bos
8,UTAH,L117-109,39.0,57.1,50.0,100.0,5.0,7.0,1.0,2.0,3.0,3.0,28.0,12.0,21.0,2.0,4.0,2.0,2.0,home,2021-03-16,2020,3917376,JaylenBrown,bos
9,HOU,W134-107,27.0,64.3,66.7,66.7,2.0,0.0,0.0,1.0,3.0,2.0,24.0,9.0,14.0,2.0,3.0,4.0,6.0,away,2021-03-14,2020,3917376,JaylenBrown,bos
