,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
0,WSH,L115-110,33.0,33.3,25.0,75.0,7.0,5.0,0.0,2.0,1.0,1.0,19.0,7.0,21.0,2.0,8.0,3.0,4.0,away,2021-05-16,2020,4432816,LaMeloBall,cha
1,NY,L118-109 OT,21.0,26.7,0.0,0.0,3.0,4.0,1.0,1.0,0.0,2.0,8.0,4.0,15.0,0.0,4.0,0.0,0.0,away,2021-05-15,2020,4432816,LaMeloBall,cha
2,LAC,L113-90,31.0,50.0,75.0,83.3,6.0,7.0,0.0,2.0,2.0,0.0,18.0,5.0,10.0,3.0,4.0,5.0,6.0,home,2021-05-13,2020,4432816,LaMeloBall,cha
3,DEN,L117-112,31.0,11.1,0.0,75.0,12.0,7.0,0.0,0.0,2.0,5.0,5.0,1.0,9.0,0.0,3.0,3.0,4.0,home,2021-05-11,2020,4432816,LaMeloBall,cha
4,NO,L112-110,31.0,52.6,40.0,0.0,4.0,5.0,0.0,2.0,2.0,5.0,22.0,10.0,19.0,2.0,5.0,0.0,3.0,home,2021-05-09,2020,4432816,LaMeloBall,cha
5,ORL,W122-112,34.0,50.0,0.0,62.5,6.0,6.0,0.0,2.0,1.0,4.0,27.0,11.0,22.0,0.0,7.0,5.0,8.0,home,2021-05-07,2020,4432816,LaMeloBall,cha
6,CHI,L120-99,24.0,10.0,0.0,50.0,4.0,9.0,0.0,0.0,4.0,1.0,4.0,1.0,10.0,0.0,2.0,2.0,4.0,home,2021-05-06,2020,4432816,LaMeloBall,cha
7,DET,W102-99,31.0,43.8,60.0,100.0,7.0,6.0,0.0,2.0,3.0,2.0,23.0,7.0,16.0,3.0,5.0,6.0,6.0,away,2021-05-04,2020,4432816,LaMeloBall,cha
8,MIA,L121-111,30.0,42.9,0.0,66.7,6.0,5.0,1.0,4.0,2.0,5.0,14.0,6.0,14.0,0.0,3.0,2.0,3.0,home,2021-05-02,2020,4432816,LaMeloBall,cha
9,DET,W107-94,28.0,40.0,25.0,50.0,7.0,8.0,2.0,1.0,3.0,5.0,11.0,4.0,10.0,1.0,4.0,2.0,4.0,home,2021-05-01,2020,4432816,LaMeloBall,cha
0,LAC,L125-98,22.0,33.3,25.0,57.1,5.0,2.0,0.0,3.0,4.0,1.0,13.0,4.0,12.0,1.0,4.0,4.0,7.0,away,2021-03-20,2020,4432816,LaMeloBall,cha
1,LAL,L116-105,33.0,55.6,40.0,80.0,5.0,7.0,0.0,1.0,5.0,6.0,26.0,10.0,18.0,2.0,5.0,4.0,5.0,away,2021-03-18,2020,4432816,LaMeloBall,cha
2,DEN,L129-104,22.0,45.5,20.0,75.0,1.0,2.0,0.0,1.0,4.0,2.0,14.0,5.0,11.0,1.0,5.0,3.0,4.0,away,2021-03-17,2020,4432816,LaMeloBall,cha
3,SAC,W122-116,25.0,46.7,0.0,66.7,4.0,4.0,0.0,1.0,3.0,0.0,16.0,7.0,15.0,0.0,3.0,2.0,3.0,home,2021-03-15,2020,4432816,LaMeloBall,cha
4,TOR,W114-104,31.0,63.6,66.7,100.0,9.0,6.0,1.0,1.0,1.0,2.0,23.0,7.0,11.0,6.0,9.0,3.0,3.0,home,2021-03-13,2020,4432816,LaMeloBall,cha
5,DET,W105-102,29.0,27.3,20.0,0.0,5.0,9.0,0.0,1.0,4.0,5.0,7.0,3.0,11.0,1.0,5.0,0.0,0.0,home,2021-03-11,2020,4432816,LaMeloBall,cha
6,MIN,W135-102,26.0,53.8,80.0,50.0,7.0,5.0,0.0,2.0,0.0,4.0,19.0,7.0,13.0,4.0,5.0,1.0,2.0,away,2021-03-03,2020,4432816,LaMeloBall,cha
7,POR,L123-111,32.0,55.6,71.4,83.3,6.0,8.0,1.0,4.0,3.0,3.0,30.0,10.0,18.0,5.0,7.0,5.0,6.0,away,2021-03-01,2020,4432816,LaMeloBall,cha
0,SAC,W127-126,39.0,58.3,50.0,90.0,4.0,12.0,1.0,0.0,4.0,3.0,24.0,7.0,12.0,1.0,2.0,9.0,10.0,away,2021-02-28,2020,4432816,LaMeloBall,cha
