,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
0,MEM,L115-110,34.0,71.4,100.0,0.0,8.0,3.0,2.0,1.0,2.0,1.0,12.0,5.0,7.0,2.0,2.0,0.0,0.0,away,2021-05-10,2020,4066421,LonzoBall,chi
1,CHA,W112-110,30.0,28.6,36.4,0.0,3.0,6.0,0.0,0.0,1.0,2.0,12.0,4.0,14.0,4.0,11.0,0.0,0.0,away,2021-05-09,2020,4066421,LonzoBall,chi
2,PHI,L109-107,34.0,33.3,30.8,50.0,7.0,3.0,0.0,2.0,2.0,5.0,18.0,6.0,18.0,4.0,13.0,2.0,4.0,away,2021-05-07,2020,4066421,LonzoBall,chi
3,GS,W108-103,34.0,47.8,53.8,100.0,6.0,4.0,0.0,1.0,0.0,3.0,33.0,11.0,23.0,7.0,13.0,4.0,4.0,home,2021-05-04,2020,4066421,LonzoBall,chi
4,GS,L123-108,38.0,16.7,11.1,0.0,7.0,8.0,0.0,2.0,2.0,4.0,7.0,3.0,18.0,1.0,9.0,0.0,0.0,home,2021-05-03,2020,4066421,LonzoBall,chi
5,MIN,W140-136 OT,40.0,47.6,47.1,83.3,11.0,8.0,0.0,3.0,1.0,5.0,33.0,10.0,21.0,8.0,17.0,5.0,6.0,away,2021-05-01,2020,4066421,LonzoBall,chi
0,OKC,W109-95,32.0,25.0,0.0,0.0,10.0,6.0,1.0,3.0,3.0,1.0,6.0,3.0,12.0,0.0,8.0,0.0,0.0,away,2021-04-29,2020,4066421,LonzoBall,chi
1,DEN,L114-112,36.0,42.9,44.4,0.0,12.0,12.0,2.0,4.0,1.0,4.0,16.0,6.0,14.0,4.0,9.0,0.0,0.0,away,2021-04-28,2020,4066421,LonzoBall,chi
2,LAC,W120-103,38.0,50.0,33.3,50.0,9.0,7.0,0.0,2.0,0.0,4.0,18.0,7.0,14.0,3.0,9.0,1.0,2.0,home,2021-04-26,2020,4066421,LonzoBall,chi
3,SA,L110-108,34.0,56.3,60.0,0.0,2.0,4.0,0.0,2.0,2.0,4.0,24.0,9.0,16.0,6.0,10.0,0.0,0.0,home,2021-04-24,2020,4066421,LonzoBall,chi
4,ORL,W135-100,25.0,25.0,40.0,0.0,4.0,12.0,1.0,0.0,1.0,4.0,6.0,2.0,8.0,2.0,5.0,0.0,0.0,away,2021-04-22,2020,4066421,LonzoBall,chi
5,BKN,L134-129,26.0,54.5,50.0,0.0,4.0,3.0,0.0,2.0,3.0,2.0,15.0,6.0,11.0,3.0,6.0,0.0,0.0,home,2021-04-20,2020,4066421,LonzoBall,chi
6,NY,L122-112 OT,27.0,22.2,20.0,0.0,7.0,3.0,0.0,2.0,2.0,0.0,5.0,2.0,9.0,1.0,5.0,0.0,0.0,away,2021-04-18,2020,4066421,LonzoBall,chi
7,WSH,L117-115 OT,20.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,4.0,2.0,10.0,0.0,7.0,0.0,0.0,away,2021-04-16,2020,4066421,LonzoBall,chi
8,BKN,L139-111,28.0,54.5,16.7,100.0,0.0,3.0,0.0,1.0,1.0,1.0,15.0,6.0,11.0,1.0,6.0,2.0,2.0,away,2021-04-07,2020,4066421,LonzoBall,chi
9,ATL,L123-107,30.0,26.7,28.6,0.0,9.0,11.0,2.0,3.0,1.0,1.0,12.0,4.0,15.0,4.0,14.0,0.0,0.0,away,2021-04-06,2020,4066421,LonzoBall,chi
10,HOU,W122-115,37.0,44.4,53.3,100.0,4.0,9.0,0.0,3.0,4.0,6.0,27.0,8.0,18.0,8.0,15.0,3.0,3.0,away,2021-04-04,2020,4066421,LonzoBall,chi
0,POR,L101-93,38.0,40.0,27.3,0.0,4.0,8.0,1.0,1.0,2.0,2.0,15.0,6.0,15.0,3.0,11.0,0.0,0.0,away,2021-03-18,2020,4066421,LonzoBall,chi
1,POR,L125-124,35.0,50.0,42.9,0.0,3.0,17.0,0.0,2.0,2.0,2.0,11.0,4.0,8.0,3.0,7.0,0.0,0.0,away,2021-03-16,2020,4066421,LonzoBall,chi
2,LAC,W135-115,30.0,70.0,62.5,100.0,8.0,5.0,0.0,1.0,2.0,3.0,20.0,7.0,10.0,5.0,8.0,1.0,1.0,home,2021-03-14,2020,4066421,LonzoBall,chi
3,CLE,W116-82,25.0,14.3,20.0,0.0,4.0,6.0,1.0,1.0,0.0,2.0,3.0,1.0,7.0,1.0,5.0,0.0,0.0,home,2021-03-12,2020,4066421,LonzoBall,chi
4,MIN,L135-105,28.0,25.0,33.3,50.0,2.0,7.0,1.0,2.0,0.0,1.0,10.0,3.0,12.0,3.0,9.0,1.0,2.0,home,2021-03-11,2020,4066421,LonzoBall,chi
5,MIA,L103-93,31.0,25.0,18.2,0.0,4.0,1.0,0.0,0.0,0.0,3.0,10.0,4.0,16.0,2.0,11.0,0.0,0.0,home,2021-03-04,2020,4066421,LonzoBall,chi
6,CHI,L128-124,26.0,50.0,33.3,0.0,1.0,5.0,1.0,3.0,1.0,2.0,12.0,5.0,10.0,2.0,6.0,0.0,0.0,home,2021-03-03,2020,4066421,LonzoBall,chi
7,UTAH,W129-124,39.0,56.3,60.0,100.0,7.0,8.0,2.0,0.0,2.0,0.0,23.0,9.0,16.0,3.0,5.0,2.0,2.0,home,2021-03-01,2020,4066421,LonzoBall,chi
0,SA,L117-114,36.0,35.3,25.0,100.0,3.0,4.0,0.0,0.0,0.0,1.0,16.0,6.0,17.0,3.0,12.0,1.0,1.0,away,2021-02-27,2020,4066421,LonzoBall,chi
1,MIL,L129-125,35.0,50.0,60.0,0.0,1.0,8.0,1.0,1.0,1.0,1.0,20.0,7.0,14.0,6.0,10.0,0.0,0.0,away,2021-02-25,2020,4066421,LonzoBall,chi
2,DET,W128-118,35.0,50.0,40.0,100.0,6.0,8.0,0.0,3.0,0.0,2.0,12.0,4.0,8.0,2.0,5.0,2.0,2.0,home,2021-02-24,2020,4066421,LonzoBall,chi
3,BOS,W120-115 OT,39.0,45.5,50.0,75.0,6.0,4.0,0.0,2.0,3.0,6.0,16.0,5.0,11.0,3.0,6.0,3.0,4.0,home,2021-02-21,2020,4066421,LonzoBall,chi
4,PHX,L132-114,36.0,46.2,50.0,75.0,1.0,12.0,2.0,3.0,2.0,0.0,21.0,6.0,13.0,6.0,12.0,3.0,4.0,home,2021-02-19,2020,4066421,LonzoBall,chi
5,POR,L126-124,36.0,50.0,50.0,100.0,2.0,5.0,0.0,1.0,3.0,3.0,21.0,7.0,14.0,5.0,10.0,2.0,2.0,home,2021-02-17,2020,4066421,LonzoBall,chi
6,MEM,W144-113,27.0,41.7,28.6,50.0,3.0,5.0,0.0,2.0,3.0,1.0,13.0,5.0,12.0,2.0,7.0,1.0,2.0,away,2021-02-16,2020,4066421,LonzoBall,chi
7,DET,L123-112,31.0,45.5,42.9,0.0,4.0,3.0,0.0,0.0,4.0,5.0,13.0,5.0,11.0,3.0,7.0,0.0,0.0,away,2021-02-14,2020,4066421,LonzoBall,chi
