,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
0,BKN,L123-109,30.0,28.6,0.0,71.4,11.0,0.0,1.0,1.0,0.0,0.0,9.0,2.0,7.0,0.0,1.0,5.0,7.0,away,2021-05-16,2020,4066328,JarrettAllen,cle
1,WSH,L120-105,35.0,58.3,0.0,66.7,14.0,3.0,1.0,0.0,2.0,2.0,18.0,7.0,12.0,0.0,1.0,4.0,6.0,away,2021-05-14,2020,4066328,JarrettAllen,cle
2,BOS,W102-94,32.0,40.0,0.0,0.0,10.0,2.0,1.0,0.0,1.0,3.0,8.0,4.0,10.0,0.0,0.0,0.0,0.0,home,2021-05-12,2020,4066328,JarrettAllen,cle
3,IND,L111-102,32.0,66.7,100.0,75.0,9.0,3.0,1.0,0.0,2.0,2.0,12.0,4.0,6.0,1.0,1.0,3.0,4.0,home,2021-05-10,2020,4066328,JarrettAllen,cle
4,DAL,L124-97,26.0,40.0,0.0,25.0,5.0,1.0,0.0,0.0,0.0,1.0,5.0,2.0,5.0,0.0,1.0,1.0,4.0,home,2021-05-09,2020,4066328,JarrettAllen,cle
5,DAL,L110-90,31.0,20.0,0.0,75.0,12.0,1.0,0.0,2.0,0.0,3.0,5.0,1.0,5.0,0.0,0.0,3.0,4.0,away,2021-05-07,2020,4066328,JarrettAllen,cle
6,POR,L141-105,29.0,37.5,0.0,75.0,13.0,2.0,1.0,1.0,3.0,2.0,9.0,3.0,8.0,0.0,1.0,3.0,4.0,home,2021-05-05,2020,4066328,JarrettAllen,cle
7,PHX,L134-118 OT,37.0,63.6,0.0,60.0,8.0,5.0,1.0,1.0,1.0,2.0,17.0,7.0,11.0,0.0,0.0,3.0,5.0,home,2021-05-04,2020,4066328,JarrettAllen,cle
8,MIA,L124-107,36.0,66.7,0.0,100.0,14.0,2.0,1.0,0.0,1.0,3.0,6.0,2.0,3.0,0.0,0.0,2.0,2.0,home,2021-05-01,2020,4066328,JarrettAllen,cle
0,WSH,L122-93,26.0,0.0,0.0,33.3,11.0,2.0,1.0,0.0,0.0,2.0,13.0,6.0,9.0,0.0,0.0,1.0,3.0,home,2021-04-30,2020,4066328,JarrettAllen,cle
1,ORL,L109-104,37.0,58.3,0.0,50.0,13.0,1.0,2.0,1.0,2.0,0.0,17.0,7.0,12.0,0.0,1.0,3.0,6.0,home,2021-04-28,2020,4066328,JarrettAllen,cle
2,TOR,L112-96,31.0,63.6,0.0,100.0,7.0,2.0,0.0,1.0,2.0,2.0,15.0,7.0,11.0,0.0,0.0,1.0,1.0,away,2021-04-26,2020,4066328,JarrettAllen,cle
3,WSH,L119-110,34.0,83.3,0.0,77.8,12.0,2.0,3.0,2.0,1.0,3.0,27.0,10.0,12.0,0.0,0.0,7.0,9.0,away,2021-04-25,2020,4066328,JarrettAllen,cle
4,CHA,L108-102,33.0,100.0,0.0,75.0,9.0,1.0,0.0,0.0,1.0,2.0,15.0,6.0,6.0,0.0,0.0,3.0,4.0,away,2021-04-23,2020,4066328,JarrettAllen,cle
5,CHI,W121-105,29.0,66.7,0.0,0.0,9.0,0.0,1.0,0.0,3.0,0.0,8.0,4.0,6.0,0.0,0.0,0.0,0.0,home,2021-04-21,2020,4066328,JarrettAllen,cle
6,DET,L109-105,28.0,50.0,0.0,100.0,5.0,0.0,1.0,1.0,2.0,3.0,5.0,2.0,4.0,0.0,0.0,1.0,1.0,away,2021-04-19,2020,4066328,JarrettAllen,cle
7,CHI,L106-96,32.0,44.4,0.0,100.0,11.0,2.0,0.0,0.0,1.0,0.0,10.0,4.0,9.0,0.0,0.0,2.0,2.0,away,2021-04-17,2020,4066328,JarrettAllen,cle
8,GS,L119-101,35.0,85.7,0.0,83.3,14.0,1.0,0.0,2.0,4.0,5.0,17.0,6.0,7.0,0.0,0.0,5.0,6.0,home,2021-04-15,2020,4066328,JarrettAllen,cle
9,CHA,W103-90,30.0,55.6,0.0,83.3,8.0,2.0,1.0,0.0,0.0,0.0,15.0,5.0,9.0,0.0,1.0,5.0,6.0,away,2021-04-14,2020,4066328,JarrettAllen,cle
0,LAL,L100-86,36.0,40.0,50.0,50.0,11.0,5.0,1.0,1.0,2.0,0.0,13.0,4.0,10.0,1.0,2.0,4.0,8.0,away,2021-03-26,2020,4066328,JarrettAllen,cle
1,CHI,W103-94,35.0,75.0,0.0,50.0,9.0,1.0,3.0,2.0,1.0,3.0,19.0,9.0,12.0,0.0,0.0,1.0,2.0,away,2021-03-24,2020,4066328,JarrettAllen,cle
2,SAC,L119-105,27.0,36.4,0.0,60.0,9.0,0.0,1.0,0.0,0.0,1.0,11.0,4.0,11.0,0.0,0.0,3.0,5.0,home,2021-03-22,2020,4066328,JarrettAllen,cle
3,TOR,W116-105,34.0,50.0,0.0,81.8,15.0,1.0,1.0,0.0,4.0,3.0,17.0,4.0,8.0,0.0,0.0,9.0,11.0,home,2021-03-21,2020,4066328,JarrettAllen,cle
4,SA,L116-110,32.0,75.0,0.0,75.0,11.0,2.0,2.0,0.0,1.0,2.0,15.0,6.0,8.0,0.0,0.0,3.0,4.0,home,2021-03-19,2020,4066328,JarrettAllen,cle
5,BOS,W117-110,33.0,33.3,0.0,50.0,7.0,1.0,1.0,0.0,0.0,1.0,7.0,2.0,6.0,0.0,1.0,3.0,6.0,home,2021-03-17,2020,4066328,JarrettAllen,cle
6,MIA,L113-98,27.0,50.0,0.0,0.0,10.0,2.0,2.0,0.0,3.0,0.0,8.0,4.0,8.0,0.0,0.0,0.0,0.0,away,2021-03-16,2020,4066328,JarrettAllen,cle
7,ATL,L100-82,28.0,50.0,0.0,41.7,11.0,0.0,1.0,0.0,2.0,0.0,9.0,2.0,4.0,0.0,1.0,5.0,12.0,away,2021-03-14,2020,4066328,JarrettAllen,cle
8,NO,L116-82,33.0,33.3,0.0,50.0,7.0,2.0,3.0,1.0,2.0,1.0,5.0,2.0,6.0,0.0,0.0,1.0,2.0,away,2021-03-12,2020,4066328,JarrettAllen,cle
9,IND,L114-111,29.0,85.7,0.0,100.0,11.0,1.0,0.0,0.0,1.0,1.0,17.0,6.0,7.0,0.0,0.0,5.0,5.0,home,2021-03-03,2020,4066328,JarrettAllen,cle
10,HOU,W101-90,31.0,71.4,0.0,0.0,15.0,1.0,1.0,0.0,1.0,2.0,10.0,5.0,7.0,0.0,0.0,0.0,0.0,away,2021-03-01,2020,4066328,JarrettAllen,cle
0,PHI,W112-109 OT,37.0,45.5,50.0,75.0,9.0,3.0,0.0,1.0,4.0,3.0,14.0,5.0,11.0,1.0,2.0,3.0,4.0,away,2021-02-27,2020,4066328,JarrettAllen,cle
