,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
0,LAC,W117-112,38.0,63.2,0.0,0.0,18.0,3.0,7.0,0.0,0.0,0.0,24.0,12.0,19.0,0.0,0.0,0.0,0.0,home,2021-05-16,2020,4397126,MosesBrown,dal
1,UTAH,L109-93,20.0,50.0,0.0,50.0,8.0,0.0,0.0,1.0,5.0,0.0,5.0,2.0,4.0,0.0,0.0,1.0,2.0,home,2021-05-14,2020,4397126,MosesBrown,dal
2,SAC,L122-106,27.0,42.9,0.0,50.0,13.0,0.0,1.0,1.0,0.0,3.0,10.0,3.0,7.0,0.0,0.0,4.0,8.0,away,2021-05-11,2020,4397126,MosesBrown,dal
3,SAC,L126-98,26.0,75.0,0.0,85.7,9.0,0.0,3.0,2.0,4.0,0.0,12.0,3.0,4.0,0.0,0.0,6.0,7.0,away,2021-05-09,2020,4397126,MosesBrown,dal
4,GS,L136-97,20.0,25.0,0.0,50.0,8.0,0.0,1.0,0.0,2.0,1.0,6.0,2.0,8.0,0.0,0.0,2.0,4.0,away,2021-05-08,2020,4397126,MosesBrown,dal
5,GS,L118-97,28.0,33.3,0.0,0.0,8.0,0.0,1.0,1.0,4.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,away,2021-05-06,2020,4397126,MosesBrown,dal
6,SAC,L103-99,30.0,37.5,0.0,0.0,17.0,0.0,0.0,2.0,1.0,0.0,6.0,3.0,8.0,0.0,0.0,0.0,0.0,home,2021-05-04,2020,4397126,MosesBrown,dal
7,PHX,L123-120,14.0,66.7,0.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,2.0,home,2021-05-02,2020,4397126,MosesBrown,dal
8,IND,L152-95,18.0,77.8,0.0,66.7,7.0,0.0,0.0,0.0,3.0,1.0,16.0,7.0,9.0,0.0,0.0,2.0,3.0,home,2021-05-01,2020,4397126,MosesBrown,dal
0,NO,L109-95,32.0,40.0,0.0,50.0,18.0,1.0,0.0,2.0,4.0,3.0,5.0,2.0,5.0,0.0,0.0,1.0,2.0,home,2021-04-29,2020,4397126,MosesBrown,dal
1,BOS,W119-115,12.0,75.0,0.0,100.0,7.0,0.0,0.0,0.0,1.0,1.0,8.0,3.0,4.0,0.0,0.0,2.0,2.0,away,2021-04-27,2020,4397126,MosesBrown,dal
2,PHI,L121-90,27.0,62.5,0.0,50.0,8.0,1.0,0.0,1.0,2.0,3.0,11.0,5.0,8.0,0.0,0.0,1.0,2.0,away,2021-04-26,2020,4397126,MosesBrown,dal
3,WSH,L129-109,7.0,50.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,home,2021-04-23,2020,4397126,MosesBrown,dal
4,IND,L122-116,17.0,62.5,0.0,100.0,11.0,1.0,0.0,2.0,0.0,1.0,12.0,5.0,8.0,0.0,0.0,2.0,2.0,away,2021-04-21,2020,4397126,MosesBrown,dal
5,WSH,L119-107,16.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,away,2021-04-19,2020,4397126,MosesBrown,dal
6,TOR,L112-106,20.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,away,2021-04-18,2020,4397126,MosesBrown,dal
7,DET,L110-104,24.0,0.0,0.0,66.7,8.0,0.0,2.0,0.0,2.0,1.0,12.0,5.0,9.0,0.0,0.0,2.0,3.0,away,2021-04-16,2020,4397126,MosesBrown,dal
8,GS,L147-109,28.0,61.5,0.0,66.7,12.0,0.0,2.0,2.0,3.0,4.0,18.0,8.0,13.0,0.0,0.0,2.0,3.0,home,2021-04-14,2020,4397126,MosesBrown,dal
9,UTAH,L106-96,26.0,50.0,0.0,100.0,15.0,0.0,1.0,2.0,4.0,2.0,12.0,4.0,8.0,0.0,0.0,4.0,4.0,away,2021-04-13,2020,4397126,MosesBrown,dal
10,PHI,L117-93,19.0,60.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,1.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,home,2021-04-10,2020,4397126,MosesBrown,dal
11,CLE,L129-102,31.0,60.0,0.0,100.0,11.0,0.0,1.0,1.0,2.0,1.0,13.0,6.0,10.0,0.0,0.0,1.0,1.0,home,2021-04-08,2020,4397126,MosesBrown,dal
12,CHA,L113-102,27.0,25.0,0.0,33.3,10.0,0.0,1.0,0.0,2.0,2.0,5.0,2.0,8.0,0.0,0.0,1.0,3.0,home,2021-04-07,2020,4397126,MosesBrown,dal
13,DET,L132-108,26.0,57.1,0.0,75.0,5.0,0.0,2.0,0.0,3.0,1.0,11.0,4.0,7.0,0.0,0.0,3.0,4.0,home,2021-04-05,2020,4397126,MosesBrown,dal
14,POR,L133-85,23.0,57.1,0.0,50.0,14.0,0.0,0.0,0.0,5.0,1.0,10.0,4.0,7.0,0.0,0.0,2.0,4.0,away,2021-04-03,2020,4397126,MosesBrown,dal
15,PHX,L140-103,24.0,0.0,0.0,50.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,2.0,away,2021-04-02,2020,4397126,MosesBrown,dal
0,TOR,W113-103,30.0,60.0,0.0,88.9,12.0,0.0,1.0,0.0,1.0,0.0,20.0,6.0,10.0,0.0,0.0,8.0,9.0,home,2021-03-31,2020,4397126,MosesBrown,dal
1,DAL,L127-106,30.0,20.0,0.0,40.0,9.0,0.0,2.0,2.0,0.0,1.0,6.0,1.0,5.0,0.0,0.0,4.0,10.0,home,2021-03-29,2020,4397126,MosesBrown,dal
2,BOS,L111-94,33.0,80.0,0.0,62.5,23.0,0.0,0.0,0.0,0.0,2.0,21.0,8.0,10.0,0.0,0.0,5.0,8.0,home,2021-03-27,2020,4397126,MosesBrown,dal
3,MEM,L116-107,31.0,77.8,0.0,55.6,12.0,0.0,2.0,2.0,1.0,1.0,19.0,7.0,9.0,0.0,0.0,5.0,9.0,home,2021-03-24,2020,4397126,MosesBrown,dal
4,MIN,W112-103,34.0,33.3,0.0,0.0,18.0,0.0,3.0,1.0,3.0,2.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,away,2021-03-22,2020,4397126,MosesBrown,dal
5,HOU,W114-112,28.0,62.5,0.0,50.0,14.0,0.0,0.0,1.0,3.0,2.0,13.0,5.0,8.0,0.0,0.0,3.0,6.0,away,2021-03-21,2020,4397126,MosesBrown,dal
6,ATL,L116-93,23.0,33.3,0.0,50.0,3.0,0.0,1.0,1.0,1.0,0.0,5.0,2.0,6.0,0.0,0.0,1.0,2.0,away,2021-03-18,2020,4397126,MosesBrown,dal
7,CHI,L123-102,30.0,56.3,0.0,66.7,16.0,0.0,5.0,0.0,6.0,1.0,20.0,9.0,16.0,0.0,0.0,2.0,3.0,away,2021-03-16,2020,4397126,MosesBrown,dal
8,MEM,W128-122,24.0,83.3,0.0,100.0,4.0,1.0,1.0,1.0,6.0,1.0,13.0,5.0,6.0,0.0,0.0,3.0,3.0,home,2021-03-14,2020,4397126,MosesBrown,dal
9,NY,L119-97,27.0,80.0,0.0,50.0,9.0,0.0,1.0,1.0,4.0,1.0,9.0,4.0,5.0,0.0,0.0,1.0,2.0,home,2021-03-13,2020,4397126,MosesBrown,dal
10,DAL,W116-108,19.0,37.5,0.0,100.0,12.0,0.0,1.0,0.0,2.0,1.0,8.0,3.0,8.0,0.0,0.0,2.0,2.0,home,2021-03-11,2020,4397126,MosesBrown,dal
0,HOU,L136-106,5.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,home,2021-02-01,2020,4397126,MosesBrown,dal
0,BKN,L147-125,5.0,100.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,home,2021-01-29,2020,4397126,MosesBrown,dal
1,DEN,L119-101,6.0,100.0,0.0,100.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,2.0,0.0,0.0,2.0,2.0,away,2021-01-19,2020,4397126,MosesBrown,dal
2,LAL,L128-99,6.0,66.7,0.0,100.0,3.0,1.0,1.0,0.0,2.0,0.0,6.0,2.0,3.0,0.0,0.0,2.0,2.0,home,2021-01-13,2020,4397126,MosesBrown,dal
3,BKN,W129-116,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,away,2021-01-10,2020,4397126,MosesBrown,dal
4,MIA,L118-90,6.0,100.0,0.0,37.5,3.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,3.0,8.0,away,2021-01-04,2020,4397126,MosesBrown,dal
0,NO,L113-80,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,home,2020-12-31,2020,4397126,MosesBrown,dal
0,CHI,L124-103,10.0,83.3,0.0,40.0,2.0,0.0,0.0,1.0,2.0,0.0,12.0,5.0,6.0,0.0,0.0,2.0,5.0,home,2020-12-16,2020,4397126,MosesBrown,dal
1,SA,W121-108,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,away,2020-12-12,2020,4397126,MosesBrown,dal
0,NO,L138-117,10.0,0.0,0.0,25.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,away,2020-02-11,2019,4397126,MosesBrown,dal
0,GS,W129-124 OT,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,home,2020-01-20,2019,4397126,MosesBrown,dal
1,NY,L117-93,5.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,away,2020-01-01,2019,4397126,MosesBrown,dal
0,PHX,L122-116,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,home,2019-12-30,2019,4397126,MosesBrown,dal
0,OKC,W136-119,6.0,50.0,0.0,100.0,4.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,2.0,0.0,0.0,2.0,2.0,home,2019-11-27,2019,4397126,MosesBrown,dal
1,CHI,W117-94,4.0,50.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,2.0,away,2019-11-25,2019,4397126,MosesBrown,dal
2,SAC,L107-99,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,away,2019-11-12,2019,4397126,MosesBrown,dal
0,DEN,L110-104,12.0,66.7,0.0,100.0,6.0,0.0,2.0,1.0,1.0,3.0,8.0,2.0,3.0,0.0,0.0,4.0,4.0,away,2019-10-17,2019,4397126,MosesBrown,dal
1,UTAH,W126-118,5.0,33.3,0.0,50.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,3.0,0.0,0.0,1.0,2.0,away,2019-10-16,2019,4397126,MosesBrown,dal
2,PHX,L134-118,2.0,0.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,home,2019-10-12,2019,4397126,MosesBrown,dal
3,MCH,W104-68,8.0,100.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,home,2019-10-10,2019,4397126,MosesBrown,dal
4,DEN,L105-94,7.0,75.0,0.0,66.7,1.0,0.0,1.0,1.0,2.0,1.0,8.0,3.0,4.0,0.0,0.0,2.0,3.0,home,2019-10-08,2019,4397126,MosesBrown,dal
0,GS,L125-109,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,away,2021-04-10,2020,3057187,SterlingBrown,dal
1,LAC,L126-109,25.0,75.0,60.0,0.0,4.0,1.0,0.0,1.0,1.0,3.0,15.0,6.0,8.0,3.0,5.0,0.0,0.0,away,2021-04-09,2020,3057187,SterlingBrown,dal
2,DAL,W102-93,21.0,30.0,42.9,0.0,1.0,2.0,0.0,0.0,1.0,0.0,9.0,3.0,10.0,3.0,7.0,0.0,3.0,home,2021-04-07,2020,3057187,SterlingBrown,dal
3,PHX,L133-130,26.0,85.7,100.0,50.0,3.0,2.0,0.0,1.0,1.0,2.0,16.0,6.0,7.0,3.0,3.0,1.0,2.0,home,2021-04-05,2020,3057187,SterlingBrown,dal
4,NO,L122-115,28.0,50.0,50.0,100.0,4.0,2.0,0.0,0.0,4.0,0.0,12.0,4.0,8.0,2.0,4.0,2.0,2.0,home,2021-04-04,2020,3057187,SterlingBrown,dal
5,BOS,L118-102,28.0,42.9,66.7,0.0,4.0,0.0,0.0,0.0,1.0,0.0,8.0,3.0,7.0,2.0,3.0,0.0,0.0,away,2021-04-02,2020,3057187,SterlingBrown,dal
0,BKN,L120-108,31.0,50.0,42.9,0.0,1.0,0.0,0.0,0.0,2.0,1.0,11.0,4.0,8.0,3.0,7.0,0.0,0.0,away,2021-03-31,2020,3057187,SterlingBrown,dal
1,MEM,L120-110,21.0,42.9,50.0,100.0,7.0,0.0,0.0,1.0,1.0,0.0,10.0,3.0,7.0,2.0,4.0,2.0,2.0,home,2021-03-29,2020,3057187,SterlingBrown,dal
2,MIN,W129-107,23.0,75.0,66.7,0.0,7.0,0.0,0.0,0.0,1.0,2.0,16.0,6.0,8.0,4.0,6.0,0.0,0.0,away,2021-03-27,2020,3057187,SterlingBrown,dal
3,MIN,L107-101,36.0,40.0,60.0,0.0,11.0,1.0,2.0,0.0,4.0,1.0,11.0,4.0,10.0,3.0,5.0,0.0,0.0,away,2021-03-26,2020,3057187,SterlingBrown,dal
4,CHA,L122-97,28.0,28.6,40.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,7.0,2.0,5.0,0.0,0.0,home,2021-03-24,2020,3057187,SterlingBrown,dal
5,TOR,W117-99,34.0,70.0,57.1,100.0,10.0,2.0,1.0,0.0,2.0,0.0,20.0,7.0,10.0,4.0,7.0,2.0,2.0,home,2021-03-22,2020,3057187,SterlingBrown,dal
6,OKC,L114-112,18.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,home,2021-03-21,2020,3057187,SterlingBrown,dal
7,DET,L113-100,23.0,33.3,50.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,3.0,1.0,2.0,0.0,0.0,home,2021-03-19,2020,3057187,SterlingBrown,dal
8,GS,L108-94,34.0,14.3,0.0,100.0,5.0,2.0,0.0,0.0,0.0,2.0,4.0,1.0,7.0,0.0,5.0,2.0,2.0,home,2021-03-17,2020,3057187,SterlingBrown,dal
9,ATL,L119-107,36.0,50.0,66.7,0.0,11.0,1.0,1.0,2.0,6.0,2.0,8.0,3.0,6.0,2.0,3.0,0.0,1.0,home,2021-03-16,2020,3057187,SterlingBrown,dal
10,BOS,L134-107,29.0,28.6,16.7,100.0,1.0,1.0,0.0,1.0,0.0,0.0,7.0,2.0,7.0,1.0,6.0,2.0,2.0,home,2021-03-14,2020,3057187,SterlingBrown,dal
11,UTAH,L114-99,37.0,37.5,37.5,0.0,3.0,1.0,0.0,1.0,3.0,0.0,15.0,6.0,16.0,3.0,8.0,0.0,0.0,away,2021-03-12,2020,3057187,SterlingBrown,dal
12,SAC,L125-105,31.0,42.9,33.3,0.0,10.0,1.0,1.0,0.0,1.0,2.0,8.0,3.0,7.0,2.0,6.0,0.0,0.0,away,2021-03-11,2020,3057187,SterlingBrown,dal
13,BKN,L132-114,33.0,60.0,60.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,9.0,3.0,5.0,3.0,5.0,0.0,0.0,home,2021-03-03,2020,3057187,SterlingBrown,dal
14,CLE,L101-90,31.0,25.0,28.6,100.0,5.0,0.0,0.0,2.0,1.0,1.0,8.0,2.0,8.0,2.0,7.0,2.0,2.0,home,2021-03-01,2020,3057187,SterlingBrown,dal
0,MEM,L133-84,28.0,12.5,12.5,100.0,6.0,3.0,0.0,2.0,5.0,4.0,5.0,1.0,8.0,1.0,8.0,2.0,2.0,home,2021-02-28,2020,3057187,SterlingBrown,dal
1,TOR,L122-111,19.0,33.3,33.3,0.0,10.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,0.0,0.0,away,2021-02-26,2020,3057187,SterlingBrown,dal
2,CLE,L112-96,19.0,33.3,0.0,0.0,5.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,2.0,0.0,0.0,away,2021-02-24,2020,3057187,SterlingBrown,dal
3,CHI,L120-100,28.0,66.7,100.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,16.0,6.0,9.0,4.0,4.0,0.0,1.0,home,2021-02-22,2020,3057187,SterlingBrown,dal
4,PHI,L118-113,26.0,20.0,25.0,0.0,3.0,3.0,1.0,1.0,5.0,0.0,3.0,1.0,5.0,1.0,4.0,0.0,0.0,away,2021-02-17,2020,3057187,SterlingBrown,dal
5,WSH,L131-119,25.0,42.9,25.0,100.0,4.0,2.0,1.0,0.0,3.0,3.0,9.0,3.0,7.0,1.0,4.0,2.0,2.0,away,2021-02-15,2020,3057187,SterlingBrown,dal
6,NY,L121-99,26.0,50.0,60.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,11.0,4.0,8.0,3.0,5.0,0.0,0.0,away,2021-02-13,2020,3057187,SterlingBrown,dal
