,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
0,PHX,L125-118,39.0,42.9,33.3,100.0,5.0,2.0,0.0,2.0,3.0,2.0,25.0,9.0,21.0,3.0,9.0,4.0,4.0,home,2021-06-13,2020,6579,WillBarton,den
2,PHX,L116-102,28.0,42.9,28.6,0.0,7.0,3.0,0.0,0.0,1.0,2.0,14.0,6.0,14.0,2.0,7.0,0.0,0.0,home,2021-06-11,2020,6579,WillBarton,den
4,PHX,L123-98,16.0,50.0,40.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,10.0,4.0,8.0,2.0,5.0,0.0,0.0,away,2021-06-09,2020,6579,WillBarton,den
0,GS,L118-97,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,away,2021-04-23,2020,6579,WillBarton,den
1,POR,W106-105,34.0,38.5,25.0,66.7,6.0,4.0,0.0,1.0,2.0,4.0,14.0,5.0,13.0,2.0,8.0,2.0,3.0,away,2021-04-21,2020,6579,WillBarton,den
2,MEM,W139-137 2OT,44.0,42.1,83.3,87.5,6.0,7.0,1.0,1.0,2.0,1.0,28.0,8.0,19.0,5.0,6.0,7.0,8.0,home,2021-04-19,2020,6579,WillBarton,den
3,HOU,W128-99,30.0,30.0,16.7,83.3,1.0,2.0,0.0,1.0,2.0,2.0,12.0,3.0,10.0,1.0,6.0,5.0,6.0,away,2021-04-16,2020,6579,WillBarton,den
4,MIA,W123-106,25.0,25.0,40.0,0.0,1.0,3.0,0.0,0.0,4.0,2.0,6.0,2.0,8.0,2.0,5.0,0.0,0.0,home,2021-04-14,2020,6579,WillBarton,den
5,GS,L116-107,33.0,50.0,50.0,100.0,1.0,2.0,0.0,1.0,3.0,3.0,9.0,3.0,6.0,1.0,2.0,2.0,2.0,away,2021-04-12,2020,6579,WillBarton,den
6,BOS,L105-87,34.0,36.4,33.3,80.0,6.0,3.0,0.0,1.0,1.0,2.0,13.0,4.0,11.0,1.0,3.0,4.0,5.0,home,2021-04-11,2020,6579,WillBarton,den
7,SA,W121-119,36.0,54.5,50.0,100.0,1.0,5.0,0.0,1.0,3.0,2.0,17.0,6.0,11.0,2.0,4.0,3.0,3.0,home,2021-04-09,2020,6579,WillBarton,den
8,SA,W106-96,31.0,23.1,28.6,100.0,4.0,5.0,0.0,2.0,1.0,1.0,14.0,3.0,13.0,2.0,7.0,6.0,6.0,home,2021-04-07,2020,6579,WillBarton,den
9,DET,W134-119,36.0,62.5,50.0,100.0,6.0,4.0,0.0,2.0,3.0,2.0,24.0,10.0,16.0,3.0,6.0,1.0,1.0,home,2021-04-06,2020,6579,WillBarton,den
10,ORL,W119-109,35.0,45.5,50.0,75.0,8.0,4.0,1.0,1.0,0.0,3.0,15.0,5.0,11.0,2.0,4.0,3.0,4.0,home,2021-04-04,2020,6579,WillBarton,den
