,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
0,MIA,L120-107,37.0,33.3,26.7,80.0,5.0,4.0,1.0,1.0,2.0,2.0,22.0,7.0,21.0,4.0,15.0,4.0,5.0,home,2021-05-16,2020,4397136,SaddiqBey,det
1,DEN,L104-91,40.0,26.7,20.0,66.7,4.0,1.0,0.0,2.0,1.0,1.0,14.0,4.0,15.0,2.0,10.0,4.0,6.0,home,2021-05-14,2020,4397136,SaddiqBey,det
2,MIN,L119-100,36.0,50.0,62.5,0.0,4.0,2.0,1.0,0.0,3.0,4.0,21.0,8.0,16.0,5.0,8.0,0.0,1.0,home,2021-05-11,2020,4397136,SaddiqBey,det
3,CHI,L108-96,41.0,35.3,50.0,75.0,7.0,1.0,0.0,0.0,1.0,1.0,20.0,6.0,17.0,5.0,10.0,3.0,4.0,home,2021-05-09,2020,4397136,SaddiqBey,det
4,PHI,L118-104,24.0,60.0,25.0,100.0,7.0,0.0,1.0,0.0,2.0,0.0,14.0,6.0,10.0,1.0,4.0,1.0,1.0,away,2021-05-08,2020,4397136,SaddiqBey,det
5,MEM,W111-97,39.0,57.1,75.0,100.0,5.0,1.0,0.0,0.0,1.0,0.0,13.0,4.0,7.0,3.0,4.0,2.0,2.0,home,2021-05-06,2020,4397136,SaddiqBey,det
6,CHA,L102-99,39.0,16.7,20.0,100.0,9.0,3.0,0.0,0.0,3.0,0.0,7.0,2.0,12.0,2.0,10.0,1.0,1.0,home,2021-05-04,2020,4397136,SaddiqBey,det
7,ORL,L119-112,30.0,58.8,50.0,100.0,9.0,1.0,0.0,2.0,1.0,2.0,26.0,10.0,17.0,5.0,10.0,1.0,1.0,home,2021-05-03,2020,4397136,SaddiqBey,det
8,CHA,L107-94,40.0,33.3,41.7,75.0,7.0,5.0,2.0,2.0,0.0,0.0,22.0,7.0,21.0,5.0,12.0,3.0,4.0,away,2021-05-01,2020,4397136,SaddiqBey,det
0,DAL,L115-105,34.0,50.0,50.0,66.7,8.0,3.0,0.0,1.0,0.0,2.0,18.0,5.0,10.0,4.0,8.0,4.0,6.0,home,2021-04-29,2020,4397136,SaddiqBey,det
1,ATL,W100-86,24.0,42.9,50.0,100.0,8.0,1.0,1.0,1.0,0.0,1.0,11.0,3.0,7.0,3.0,6.0,2.0,2.0,home,2021-04-26,2020,4397136,SaddiqBey,det
2,IND,L115-109,27.0,14.3,0.0,80.0,10.0,2.0,1.0,0.0,0.0,1.0,8.0,2.0,14.0,0.0,6.0,4.0,5.0,away,2021-04-24,2020,4397136,SaddiqBey,det
