,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
0,MIL,L113-84,18.0,66.7,60.0,75.0,4.0,2.0,0.0,1.0,4.0,0.0,14.0,4.0,6.0,3.0,5.0,3.0,4.0,home,2021-05-27,2020,4269,NemanjaBjelica,gs
2,MIL,L132-98,12.0,20.0,33.3,50.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,5.0,1.0,3.0,1.0,2.0,away,2021-05-24,2020,4269,NemanjaBjelica,gs
0,DET,W120-107,38.0,61.5,66.7,50.0,6.0,6.0,1.0,2.0,3.0,2.0,21.0,8.0,13.0,4.0,6.0,1.0,2.0,away,2021-05-16,2020,4269,NemanjaBjelica,gs
1,MIL,L122-108,21.0,37.5,60.0,100.0,4.0,4.0,0.0,2.0,1.0,0.0,11.0,3.0,8.0,3.0,5.0,2.0,2.0,away,2021-05-15,2020,4269,NemanjaBjelica,gs
0,CHI,L110-102,11.0,0.0,0.0,50.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,home,2021-04-26,2020,4269,NemanjaBjelica,gs
1,MIN,L119-111,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,away,2021-04-16,2020,4269,NemanjaBjelica,gs
2,PHX,L106-86,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,away,2021-04-13,2020,4269,NemanjaBjelica,gs
3,LAL,W110-104,10.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,home,2021-04-08,2020,4269,NemanjaBjelica,gs
4,MEM,L124-112,14.0,40.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,4.0,2.0,5.0,0.0,3.0,0.0,0.0,home,2021-04-06,2020,4269,NemanjaBjelica,gs
5,CLE,W115-101,24.0,40.0,20.0,33.3,7.0,5.0,0.0,0.0,3.0,1.0,10.0,4.0,10.0,1.0,5.0,1.0,3.0,home,2021-04-03,2020,4269,NemanjaBjelica,gs
6,GS,W116-109,17.0,50.0,40.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,8.0,3.0,6.0,2.0,5.0,0.0,0.0,home,2021-04-01,2020,4269,NemanjaBjelica,gs
0,IND,W92-87,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,away,2021-03-31,2020,4269,NemanjaBjelica,gs
1,NY,W98-88,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,away,2021-03-29,2020,4269,NemanjaBjelica,gs
3,CLE,W119-105,9.0,33.3,50.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,1.0,2.0,0.0,0.0,away,2021-03-22,2020,4269,NemanjaBjelica,gs
4,PHI,L129-105,12.0,60.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,6.0,3.0,5.0,0.0,1.0,0.0,0.0,away,2021-03-20,2020,4269,NemanjaBjelica,gs
5,BOS,W107-96,14.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,away,2021-03-19,2020,4269,NemanjaBjelica,gs
6,WSH,W121-119,15.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,away,2021-03-17,2020,4269,NemanjaBjelica,gs
7,CHA,L122-116,17.0,50.0,25.0,0.0,4.0,1.0,0.0,0.0,2.0,1.0,9.0,4.0,8.0,1.0,4.0,0.0,2.0,away,2021-03-15,2020,4269,NemanjaBjelica,gs
8,ATL,L121-106,18.0,40.0,0.0,0.0,3.0,2.0,0.0,1.0,2.0,0.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,away,2021-03-13,2020,4269,NemanjaBjelica,gs
9,HOU,W125-105,13.0,33.3,0.0,100.0,2.0,1.0,0.0,0.0,3.0,0.0,4.0,1.0,3.0,0.0,1.0,2.0,2.0,home,2021-03-11,2020,4269,NemanjaBjelica,gs
10,POR,L123-119,27.0,41.7,66.7,0.0,9.0,0.0,0.0,1.0,2.0,2.0,12.0,5.0,12.0,2.0,3.0,0.0,0.0,away,2021-03-04,2020,4269,NemanjaBjelica,gs
11,LAL,W123-120,24.0,33.3,50.0,100.0,5.0,6.0,0.0,1.0,5.0,3.0,6.0,1.0,3.0,1.0,2.0,3.0,3.0,home,2021-03-03,2020,4269,NemanjaBjelica,gs
0,CHA,L127-126,22.0,83.3,100.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,11.0,5.0,6.0,1.0,1.0,0.0,0.0,home,2021-02-28,2020,4269,NemanjaBjelica,gs
1,DET,W110-107,12.0,75.0,100.0,50.0,4.0,3.0,0.0,1.0,0.0,0.0,8.0,3.0,4.0,1.0,1.0,1.0,2.0,away,2021-02-26,2020,4269,NemanjaBjelica,gs
