,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
0,ATL,L124-95,22.0,45.5,40.0,100.0,4.0,5.0,0.0,1.0,1.0,2.0,18.0,5.0,11.0,4.0,10.0,4.0,4.0,away,2021-05-16,2020,3415,D.J.Augustin,hou
1,LAC,W122-115,30.0,41.7,28.6,50.0,4.0,5.0,0.0,0.0,1.0,1.0,13.0,5.0,12.0,2.0,7.0,1.0,2.0,home,2021-05-14,2020,3415,D.J.Augustin,hou
2,LAL,L124-122,24.0,28.6,20.0,100.0,0.0,4.0,0.0,1.0,1.0,1.0,8.0,2.0,7.0,1.0,5.0,3.0,3.0,away,2021-05-12,2020,3415,D.J.Augustin,hou
3,POR,L140-129,25.0,60.0,66.7,83.3,2.0,2.0,0.0,0.0,2.0,2.0,21.0,6.0,10.0,4.0,6.0,5.0,6.0,away,2021-05-10,2020,3415,D.J.Augustin,hou
4,UTAH,L124-116,18.0,33.3,100.0,66.7,0.0,1.0,0.0,0.0,0.0,1.0,5.0,1.0,3.0,1.0,1.0,2.0,3.0,away,2021-05-08,2020,3415,D.J.Augustin,hou
5,MIL,L141-133,29.0,42.9,44.4,50.0,2.0,5.0,0.0,0.0,0.0,3.0,17.0,6.0,14.0,4.0,9.0,1.0,2.0,away,2021-05-07,2020,3415,D.J.Augustin,hou
0,PHX,L126-120,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,away,2021-04-12,2020,3415,D.J.Augustin,hou
1,GS,L125-109,22.0,55.6,42.9,100.0,3.0,6.0,0.0,0.0,1.0,0.0,19.0,5.0,9.0,3.0,7.0,6.0,6.0,away,2021-04-10,2020,3415,D.J.Augustin,hou
2,LAC,L126-109,19.0,20.0,50.0,100.0,0.0,5.0,0.0,1.0,2.0,2.0,6.0,1.0,5.0,1.0,2.0,3.0,3.0,away,2021-04-09,2020,3415,D.J.Augustin,hou
3,DAL,W102-93,19.0,11.1,20.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0,9.0,1.0,5.0,0.0,0.0,home,2021-04-07,2020,3415,D.J.Augustin,hou
4,PHX,L133-130,23.0,60.0,50.0,100.0,1.0,6.0,0.0,0.0,1.0,0.0,11.0,3.0,5.0,1.0,2.0,4.0,4.0,home,2021-04-05,2020,3415,D.J.Augustin,hou
5,NO,L122-115,20.0,50.0,33.3,0.0,6.0,5.0,0.0,0.0,0.0,3.0,9.0,4.0,8.0,1.0,3.0,0.0,0.0,home,2021-04-04,2020,3415,D.J.Augustin,hou
6,BOS,L118-102,19.0,12.5,0.0,100.0,0.0,1.0,0.0,1.0,1.0,3.0,8.0,1.0,8.0,0.0,4.0,6.0,6.0,away,2021-04-02,2020,3415,D.J.Augustin,hou
0,BKN,L120-108,18.0,60.0,75.0,66.7,5.0,4.0,0.0,0.0,3.0,1.0,11.0,3.0,5.0,3.0,4.0,2.0,3.0,away,2021-03-31,2020,3415,D.J.Augustin,hou
1,MEM,L120-110,20.0,57.1,50.0,100.0,2.0,5.0,0.0,1.0,2.0,2.0,13.0,4.0,7.0,2.0,4.0,3.0,3.0,home,2021-03-29,2020,3415,D.J.Augustin,hou
2,MIN,W129-107,24.0,57.1,40.0,100.0,3.0,4.0,0.0,0.0,2.0,1.0,20.0,8.0,14.0,2.0,5.0,2.0,2.0,away,2021-03-27,2020,3415,D.J.Augustin,hou
3,MIN,L107-101,20.0,80.0,66.7,100.0,2.0,4.0,0.0,0.0,0.0,4.0,13.0,4.0,5.0,2.0,3.0,3.0,3.0,away,2021-03-26,2020,3415,D.J.Augustin,hou
4,CHA,L122-97,24.0,25.0,16.7,0.0,2.0,7.0,0.0,1.0,3.0,3.0,5.0,2.0,8.0,1.0,6.0,0.0,0.0,home,2021-03-24,2020,3415,D.J.Augustin,hou
5,TOR,W117-99,18.0,25.0,0.0,100.0,2.0,3.0,0.0,1.0,0.0,1.0,4.0,1.0,4.0,0.0,3.0,2.0,2.0,home,2021-03-22,2020,3415,D.J.Augustin,hou
6,DET,L113-100,20.0,33.3,50.0,100.0,3.0,3.0,0.0,1.0,0.0,0.0,7.0,2.0,6.0,1.0,2.0,2.0,2.0,home,2021-03-19,2020,3415,D.J.Augustin,hou
8,WSH,W133-122,13.0,50.0,33.3,0.0,1.0,3.0,0.0,0.0,4.0,1.0,5.0,2.0,4.0,1.0,3.0,0.0,0.0,away,2021-03-15,2020,3415,D.J.Augustin,hou
9,WSH,W125-119,16.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,away,2021-03-13,2020,3415,D.J.Augustin,hou
10,NY,W134-101,18.0,100.0,100.0,100.0,3.0,2.0,0.0,1.0,2.0,2.0,12.0,4.0,4.0,3.0,3.0,1.0,1.0,home,2021-03-11,2020,3415,D.J.Augustin,hou
11,MEM,W112-111,21.0,33.3,33.3,0.0,2.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,3.0,0.0,0.0,away,2021-03-04,2020,3415,D.J.Augustin,hou
12,DEN,L128-97,27.0,40.0,40.0,100.0,1.0,3.0,0.0,0.0,1.0,0.0,7.0,2.0,5.0,2.0,5.0,1.0,1.0,home,2021-03-02,2020,3415,D.J.Augustin,hou
0,LAC,W105-100,26.0,40.0,50.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,6.0,2.0,5.0,2.0,4.0,0.0,0.0,home,2021-02-28,2020,3415,D.J.Augustin,hou
1,MIN,W139-112,26.0,66.7,50.0,0.0,2.0,5.0,0.0,1.0,2.0,0.0,10.0,4.0,6.0,2.0,4.0,0.0,0.0,home,2021-02-23,2020,3415,D.J.Augustin,hou
