,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
0,TOR,W125-113,11.0,40.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,5.0,0.0,2.0,0.0,0.0,away,2021-05-16,2020,4348700,GogaBitadze,ind
1,LAL,L122-115,30.0,37.5,33.3,50.0,7.0,1.0,4.0,0.0,4.0,1.0,10.0,3.0,8.0,1.0,3.0,3.0,6.0,home,2021-05-15,2020,4348700,GogaBitadze,ind
2,MIL,L142-133,24.0,40.0,66.7,66.7,6.0,4.0,0.0,0.0,5.0,0.0,10.0,2.0,5.0,2.0,3.0,4.0,6.0,home,2021-05-13,2020,4348700,GogaBitadze,ind
3,PHI,W103-94,18.0,0.0,0.0,100.0,2.0,1.0,2.0,0.0,3.0,0.0,4.0,0.0,4.0,0.0,3.0,4.0,4.0,home,2021-05-11,2020,4348700,GogaBitadze,ind
4,CLE,W111-102,9.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,away,2021-05-10,2020,4348700,GogaBitadze,ind
5,WSH,L133-132 OT,16.0,42.9,25.0,0.0,2.0,2.0,3.0,1.0,2.0,0.0,7.0,3.0,7.0,1.0,4.0,0.0,0.0,home,2021-05-08,2020,4348700,GogaBitadze,ind
6,ATL,W133-126,14.0,25.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,4.0,0.0,3.0,0.0,0.0,home,2021-05-06,2020,4348700,GogaBitadze,ind
7,SAC,L104-93,21.0,50.0,50.0,0.0,6.0,2.0,2.0,0.0,3.0,0.0,5.0,2.0,4.0,1.0,2.0,0.0,0.0,home,2021-05-05,2020,4348700,GogaBitadze,ind
0,SA,L109-94,23.0,0.0,0.0,83.3,9.0,0.0,5.0,0.0,4.0,0.0,7.0,1.0,7.0,0.0,2.0,5.0,6.0,home,2021-04-19,2020,4348700,GogaBitadze,ind
1,UTAH,L119-111,12.0,66.7,75.0,100.0,4.0,0.0,0.0,1.0,3.0,2.0,13.0,4.0,6.0,3.0,4.0,2.0,2.0,away,2021-04-16,2020,4348700,GogaBitadze,ind
