,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
0,PHX,L130-103,19.0,50.0,33.3,100.0,4.0,2.0,0.0,0.0,0.0,0.0,9.0,3.0,6.0,1.0,3.0,2.0,2.0,home,2021-06-30,2020,3416,NicolasBatum,lac
2,PHX,W116-102,30.0,50.0,0.0,0.0,8.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,away,2021-06-28,2020,3416,NicolasBatum,lac
4,PHX,L84-80,16.0,16.7,25.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0,1.0,4.0,0.0,0.0,home,2021-06-26,2020,3416,NicolasBatum,lac
6,PHX,W106-92,15.0,66.7,0.0,0.0,0.0,3.0,1.0,1.0,3.0,0.0,4.0,2.0,3.0,0.0,1.0,0.0,0.0,home,2021-06-24,2020,3416,NicolasBatum,lac
8,PHX,L104-103,16.0,100.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,away,2021-06-22,2020,3416,NicolasBatum,lac
10,PHX,L120-114,37.0,40.0,25.0,0.0,10.0,3.0,1.0,0.0,2.0,0.0,5.0,2.0,5.0,1.0,4.0,0.0,0.0,away,2021-06-20,2020,3416,NicolasBatum,lac
0,UTAH,W131-119,40.0,66.7,66.7,0.0,7.0,2.0,3.0,2.0,1.0,1.0,16.0,6.0,9.0,4.0,6.0,0.0,0.0,home,2021-06-18,2020,3416,NicolasBatum,lac
2,UTAH,W119-111,42.0,50.0,50.0,0.0,7.0,1.0,0.0,4.0,4.0,0.0,9.0,3.0,6.0,3.0,6.0,0.0,0.0,away,2021-06-16,2020,3416,NicolasBatum,lac
4,UTAH,W118-104,32.0,25.0,16.7,100.0,7.0,4.0,1.0,3.0,1.0,0.0,7.0,2.0,8.0,1.0,6.0,2.0,2.0,home,2021-06-14,2020,3416,NicolasBatum,lac
6,UTAH,W132-106,35.0,66.7,66.7,50.0,7.0,2.0,0.0,1.0,1.0,1.0,17.0,6.0,9.0,4.0,6.0,1.0,2.0,home,2021-06-12,2020,3416,NicolasBatum,lac
8,UTAH,L117-111,27.0,50.0,66.7,50.0,3.0,2.0,1.0,2.0,2.0,0.0,7.0,2.0,4.0,2.0,3.0,1.0,2.0,away,2021-06-10,2020,3416,NicolasBatum,lac
10,UTAH,L112-109,21.0,50.0,50.0,0.0,4.0,2.0,0.0,1.0,2.0,1.0,6.0,2.0,4.0,2.0,4.0,0.0,0.0,away,2021-06-08,2020,3416,NicolasBatum,lac
0,DAL,W126-111,42.0,57.1,25.0,100.0,7.0,5.0,1.0,2.0,1.0,1.0,11.0,4.0,7.0,1.0,4.0,2.0,2.0,home,2021-06-06,2020,3416,NicolasBatum,lac
2,DAL,W104-97,37.0,33.3,0.0,100.0,5.0,3.0,0.0,2.0,2.0,0.0,6.0,2.0,6.0,0.0,4.0,2.0,2.0,away,2021-06-04,2020,3416,NicolasBatum,lac
4,DAL,L105-100,33.0,42.9,0.0,100.0,7.0,2.0,0.0,1.0,2.0,0.0,10.0,3.0,7.0,0.0,1.0,4.0,4.0,home,2021-06-02,2020,3416,NicolasBatum,lac
6,DAL,W106-81,36.0,37.5,33.3,50.0,5.0,0.0,2.0,4.0,1.0,2.0,10.0,3.0,8.0,2.0,6.0,2.0,4.0,away,2021-05-30,2020,3416,NicolasBatum,lac
8,DAL,W118-108,27.0,60.0,0.0,100.0,6.0,2.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,0.0,2.0,2.0,2.0,away,2021-05-28,2020,3416,NicolasBatum,lac
10,DAL,L127-121,19.0,60.0,66.7,100.0,3.0,1.0,0.0,1.0,1.0,0.0,9.0,3.0,5.0,2.0,3.0,1.0,1.0,home,2021-05-25,2020,3416,NicolasBatum,lac
12,DAL,L113-103,32.0,50.0,42.9,0.0,7.0,2.0,0.0,0.0,2.0,0.0,11.0,4.0,8.0,3.0,7.0,0.0,0.0,home,2021-05-22,2020,3416,NicolasBatum,lac
0,HOU,L122-115,15.0,50.0,33.3,0.0,2.0,1.0,0.0,0.0,0.0,1.0,5.0,2.0,4.0,1.0,3.0,0.0,0.0,away,2021-05-14,2020,3416,NicolasBatum,lac
1,CHA,W113-90,23.0,66.7,50.0,50.0,3.0,0.0,1.0,1.0,1.0,0.0,11.0,4.0,6.0,2.0,4.0,1.0,2.0,away,2021-05-13,2020,3416,NicolasBatum,lac
2,TOR,W115-96,23.0,40.0,33.3,0.0,9.0,4.0,1.0,1.0,2.0,0.0,5.0,2.0,5.0,1.0,3.0,0.0,0.0,away,2021-05-11,2020,3416,NicolasBatum,lac
3,NY,L106-100,28.0,62.5,50.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,13.0,5.0,8.0,3.0,6.0,0.0,0.0,home,2021-05-09,2020,3416,NicolasBatum,lac
4,LAL,W118-94,20.0,50.0,0.0,50.0,6.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,4.0,0.0,2.0,1.0,2.0,home,2021-05-06,2020,3416,NicolasBatum,lac
5,TOR,W105-100,20.0,50.0,25.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,3.0,6.0,1.0,4.0,0.0,0.0,home,2021-05-04,2020,3416,NicolasBatum,lac
6,DEN,L110-104,19.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,home,2021-05-01,2020,3416,NicolasBatum,lac
0,PHX,L109-101,23.0,66.7,66.7,100.0,0.0,1.0,0.0,0.0,2.0,1.0,8.0,2.0,3.0,2.0,3.0,2.0,2.0,away,2021-04-28,2020,3416,NicolasBatum,lac
1,NO,L120-103,14.0,33.3,33.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,3.0,0.0,0.0,away,2021-04-26,2020,3416,NicolasBatum,lac
2,HOU,W109-104,33.0,20.0,0.0,0.0,8.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,5.0,0.0,3.0,0.0,0.0,away,2021-04-23,2020,3416,NicolasBatum,lac
3,MEM,W117-105,26.0,50.0,0.0,0.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,home,2021-04-21,2020,3416,NicolasBatum,lac
4,POR,W113-112,26.0,62.5,25.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,11.0,5.0,8.0,1.0,4.0,0.0,0.0,away,2021-04-20,2020,3416,NicolasBatum,lac
5,PHI,L106-103,30.0,0.0,33.3,0.0,8.0,3.0,0.0,1.0,3.0,0.0,3.0,1.0,6.0,1.0,3.0,0.0,0.0,away,2021-04-16,2020,3416,NicolasBatum,lac
6,DET,W100-98,27.0,28.6,33.3,100.0,1.0,0.0,1.0,1.0,0.0,1.0,7.0,2.0,7.0,2.0,6.0,1.0,1.0,away,2021-04-14,2020,3416,NicolasBatum,lac
7,IND,W126-115,28.0,50.0,28.6,0.0,5.0,1.0,5.0,1.0,0.0,3.0,14.0,6.0,12.0,2.0,7.0,0.0,0.0,away,2021-04-13,2020,3416,NicolasBatum,lac
