,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
0,DEN,L126-115,23.0,55.6,33.3,100.0,5.0,4.0,1.0,0.0,2.0,2.0,14.0,5.0,9.0,1.0,3.0,3.0,3.0,home,2021-06-03,2020,1975,CarmeloAnthony,lal
2,DEN,L147-140 2OT,30.0,27.3,22.2,0.0,4.0,3.0,0.0,0.0,4.0,2.0,8.0,3.0,11.0,2.0,9.0,0.0,0.0,away,2021-06-01,2020,1975,CarmeloAnthony,lal
4,DEN,W115-95,22.0,45.5,40.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,12.0,5.0,11.0,2.0,5.0,0.0,0.0,home,2021-05-29,2020,1975,CarmeloAnthony,lal
6,DEN,L120-115,26.0,41.7,50.0,75.0,2.0,0.0,0.0,1.0,2.0,1.0,17.0,5.0,12.0,4.0,8.0,3.0,4.0,home,2021-05-27,2020,1975,CarmeloAnthony,lal
8,DEN,L128-109,21.0,20.0,25.0,100.0,2.0,0.0,0.0,0.0,5.0,2.0,5.0,1.0,5.0,1.0,4.0,2.0,2.0,away,2021-05-24,2020,1975,CarmeloAnthony,lal
10,DEN,W123-109,22.0,50.0,50.0,100.0,3.0,1.0,0.0,1.0,1.0,0.0,18.0,6.0,12.0,4.0,8.0,2.0,2.0,away,2021-05-22,2020,1975,CarmeloAnthony,lal
0,DEN,W132-116,22.0,30.0,40.0,100.0,2.0,3.0,0.0,0.0,2.0,0.0,10.0,3.0,10.0,2.0,5.0,2.0,2.0,home,2021-05-16,2020,1975,CarmeloAnthony,lal
1,PHX,L118-117,22.0,14.3,20.0,100.0,3.0,1.0,2.0,0.0,4.0,0.0,5.0,1.0,7.0,1.0,5.0,2.0,2.0,away,2021-05-13,2020,1975,CarmeloAnthony,lal
2,UTAH,W105-98,27.0,53.8,80.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,18.0,7.0,13.0,4.0,5.0,0.0,0.0,away,2021-05-12,2020,1975,CarmeloAnthony,lal
3,LAL,W106-101,18.0,33.3,50.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,3.0,1.0,2.0,0.0,0.0,home,2021-05-07,2020,1975,CarmeloAnthony,lal
4,CLE,W141-105,22.0,62.5,50.0,100.0,5.0,3.0,1.0,1.0,3.0,1.0,16.0,5.0,8.0,2.0,4.0,4.0,4.0,away,2021-05-05,2020,1975,CarmeloAnthony,lal
5,ATL,L123-114,22.0,45.5,50.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,5.0,11.0,3.0,6.0,1.0,1.0,away,2021-05-03,2020,1975,CarmeloAnthony,lal
6,BOS,W129-119,27.0,55.6,60.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,13.0,5.0,9.0,3.0,5.0,0.0,0.0,away,2021-05-02,2020,1975,CarmeloAnthony,lal
0,BKN,W128-109,20.0,45.5,33.3,100.0,2.0,3.0,0.0,1.0,1.0,0.0,15.0,5.0,11.0,1.0,3.0,4.0,4.0,away,2021-04-30,2020,1975,CarmeloAnthony,lal
1,MEM,W130-109,23.0,63.6,66.7,0.0,6.0,0.0,0.0,0.0,3.0,0.0,18.0,7.0,11.0,4.0,6.0,0.0,0.0,away,2021-04-28,2020,1975,CarmeloAnthony,lal
2,IND,W133-112,17.0,83.3,100.0,100.0,2.0,2.0,0.0,1.0,1.0,0.0,13.0,5.0,6.0,1.0,1.0,2.0,2.0,away,2021-04-27,2020,1975,CarmeloAnthony,lal
3,MEM,L120-113,19.0,30.8,50.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,12.0,4.0,13.0,4.0,8.0,0.0,0.0,home,2021-04-25,2020,1975,CarmeloAnthony,lal
4,MEM,L130-128,19.0,57.1,75.0,100.0,3.0,1.0,0.0,1.0,1.0,0.0,13.0,4.0,7.0,3.0,4.0,2.0,2.0,home,2021-04-23,2020,1975,CarmeloAnthony,lal
5,DEN,L106-105,20.0,55.6,40.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,12.0,5.0,9.0,2.0,5.0,0.0,0.0,home,2021-04-21,2020,1975,CarmeloAnthony,lal
