,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
0,GS,W108-103,24.0,0.0,0.0,50.0,8.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,home,2021-05-04,2020,2991235,StevenAdams,mem
0,DEN,L114-112,13.0,50.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,away,2021-04-28,2020,2991235,StevenAdams,mem
1,SA,L110-108,32.0,0.0,0.0,0.0,10.0,1.0,0.0,3.0,2.0,3.0,4.0,2.0,3.0,0.0,0.0,0.0,2.0,home,2021-04-24,2020,2991235,StevenAdams,mem
2,ORL,W135-100,16.0,62.5,0.0,100.0,9.0,0.0,0.0,0.0,2.0,0.0,12.0,5.0,8.0,0.0,0.0,2.0,2.0,away,2021-04-22,2020,2991235,StevenAdams,mem
3,BKN,L134-129,29.0,0.0,0.0,50.0,5.0,1.0,2.0,0.0,3.0,0.0,7.0,3.0,5.0,0.0,0.0,1.0,2.0,home,2021-04-20,2020,2991235,StevenAdams,mem
4,NY,L122-112 OT,36.0,71.4,0.0,0.0,14.0,3.0,0.0,1.0,2.0,2.0,10.0,5.0,7.0,0.0,0.0,0.0,2.0,away,2021-04-18,2020,2991235,StevenAdams,mem
5,WSH,L117-115 OT,30.0,0.0,0.0,100.0,12.0,4.0,2.0,0.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,4.0,4.0,away,2021-04-16,2020,2991235,StevenAdams,mem
6,NY,L116-106,31.0,71.4,0.0,0.0,10.0,3.0,0.0,0.0,1.0,0.0,10.0,5.0,7.0,0.0,0.0,0.0,0.0,home,2021-04-14,2020,2991235,StevenAdams,mem
7,SAC,W117-110,27.0,50.0,0.0,33.3,16.0,0.0,0.0,1.0,1.0,0.0,6.0,2.0,4.0,0.0,0.0,2.0,6.0,home,2021-04-12,2020,2991235,StevenAdams,mem
8,CLE,W116-109,27.0,0.0,0.0,0.0,8.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,away,2021-04-11,2020,2991235,StevenAdams,mem
9,PHI,W101-94,27.0,60.0,0.0,25.0,5.0,1.0,3.0,3.0,4.0,1.0,7.0,3.0,5.0,0.0,0.0,1.0,4.0,home,2021-04-09,2020,2991235,StevenAdams,mem
10,BKN,L139-111,20.0,66.7,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,8.0,4.0,6.0,0.0,0.0,0.0,2.0,away,2021-04-07,2020,2991235,StevenAdams,mem
11,ATL,L123-107,25.0,33.3,0.0,50.0,8.0,1.0,0.0,3.0,1.0,2.0,6.0,2.0,6.0,0.0,0.0,2.0,4.0,away,2021-04-06,2020,2991235,StevenAdams,mem
12,HOU,W122-115,22.0,55.6,0.0,33.3,11.0,3.0,1.0,2.0,3.0,1.0,12.0,5.0,9.0,0.0,0.0,2.0,6.0,away,2021-04-04,2020,2991235,StevenAdams,mem
13,ORL,L115-110 OT,37.0,50.0,0.0,0.0,10.0,3.0,0.0,0.0,4.0,2.0,8.0,4.0,8.0,0.0,0.0,0.0,0.0,home,2021-04-01,2020,2991235,StevenAdams,mem
0,BOS,W115-109,30.0,100.0,0.0,0.0,5.0,1.0,1.0,2.0,3.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,4.0,away,2021-03-29,2020,2991235,StevenAdams,mem
1,DAL,W112-103,30.0,100.0,0.0,0.0,7.0,1.0,4.0,1.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,home,2021-03-27,2020,2991235,StevenAdams,mem
2,DEN,L113-108,41.0,42.9,0.0,100.0,4.0,1.0,1.0,1.0,1.0,1.0,8.0,3.0,7.0,0.0,1.0,2.0,2.0,home,2021-03-26,2020,2991235,StevenAdams,mem
3,LAL,W128-111,26.0,100.0,0.0,0.0,7.0,0.0,1.0,0.0,3.0,1.0,12.0,6.0,6.0,0.0,0.0,0.0,0.0,home,2021-03-23,2020,2991235,StevenAdams,mem
4,DEN,W113-108,36.0,25.0,0.0,33.3,13.0,3.0,2.0,1.0,2.0,3.0,4.0,1.0,4.0,0.0,0.0,2.0,6.0,away,2021-03-21,2020,2991235,StevenAdams,mem
5,POR,L101-93,35.0,66.7,0.0,100.0,10.0,2.0,0.0,1.0,5.0,1.0,6.0,2.0,3.0,0.0,0.0,2.0,2.0,away,2021-03-18,2020,2991235,StevenAdams,mem
6,POR,L125-124,25.0,50.0,0.0,0.0,5.0,2.0,0.0,1.0,4.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,away,2021-03-16,2020,2991235,StevenAdams,mem
7,LAC,W135-115,20.0,100.0,0.0,75.0,8.0,2.0,0.0,2.0,1.0,1.0,9.0,3.0,3.0,0.0,0.0,3.0,4.0,home,2021-03-14,2020,2991235,StevenAdams,mem
8,CLE,W116-82,21.0,100.0,0.0,0.0,17.0,2.0,0.0,0.0,1.0,3.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,home,2021-03-12,2020,2991235,StevenAdams,mem
9,MIN,L135-105,29.0,60.0,0.0,50.0,12.0,0.0,0.0,1.0,1.0,1.0,13.0,6.0,10.0,0.0,1.0,1.0,2.0,home,2021-03-11,2020,2991235,StevenAdams,mem
10,MIA,L103-93,25.0,85.7,0.0,42.9,5.0,1.0,0.0,0.0,4.0,1.0,15.0,6.0,7.0,0.0,0.0,3.0,7.0,home,2021-03-04,2020,2991235,StevenAdams,mem
11,CHI,L128-124,21.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,home,2021-03-03,2020,2991235,StevenAdams,mem
