,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
0,MIL,L120-103,35.0,58.8,0.0,0.0,14.0,4.0,1.0,1.0,3.0,4.0,20.0,10.0,17.0,0.0,0.0,0.0,0.0,home,2021-05-29,2020,4066261,BamAdebayo,mia
2,MIL,L113-84,32.0,50.0,0.0,100.0,8.0,4.0,1.0,1.0,2.0,2.0,17.0,7.0,14.0,0.0,0.0,3.0,3.0,home,2021-05-27,2020,4066261,BamAdebayo,mia
4,MIL,L132-98,29.0,45.5,0.0,66.7,3.0,4.0,0.0,0.0,1.0,4.0,16.0,5.0,11.0,0.0,0.0,6.0,9.0,away,2021-05-24,2020,4066261,BamAdebayo,mia
6,MIL,L109-107 OT,41.0,26.7,0.0,100.0,12.0,5.0,0.0,3.0,5.0,1.0,9.0,4.0,15.0,0.0,0.0,1.0,1.0,away,2021-05-22,2020,4066261,BamAdebayo,mia
0,MIL,L122-108,33.0,22.2,0.0,100.0,8.0,8.0,0.0,2.0,1.0,2.0,5.0,2.0,9.0,0.0,0.0,1.0,1.0,away,2021-05-15,2020,4066261,BamAdebayo,mia
1,PHI,W106-94,35.0,69.2,0.0,0.0,12.0,8.0,1.0,0.0,1.0,1.0,18.0,9.0,13.0,0.0,0.0,0.0,0.0,home,2021-05-13,2020,4066261,BamAdebayo,mia
2,BOS,W129-121,35.0,66.7,0.0,66.7,7.0,5.0,2.0,1.0,4.0,4.0,22.0,10.0,15.0,0.0,0.0,2.0,3.0,away,2021-05-11,2020,4066261,BamAdebayo,mia
3,BOS,W130-124,33.0,100.0,0.0,90.9,6.0,3.0,0.0,2.0,4.0,3.0,20.0,5.0,5.0,0.0,0.0,10.0,11.0,away,2021-05-09,2020,4066261,BamAdebayo,mia
4,MIN,W121-112,33.0,60.0,0.0,75.0,4.0,4.0,2.0,2.0,4.0,2.0,15.0,6.0,10.0,0.0,0.0,3.0,4.0,home,2021-05-07,2020,4066261,BamAdebayo,mia
5,DAL,L127-113,30.0,40.0,0.0,50.0,9.0,11.0,0.0,2.0,1.0,3.0,11.0,4.0,10.0,0.0,0.0,3.0,6.0,home,2021-05-04,2020,4066261,BamAdebayo,mia
6,CHA,W121-111,34.0,69.2,0.0,66.7,7.0,10.0,0.0,1.0,2.0,3.0,20.0,9.0,13.0,0.0,0.0,2.0,3.0,away,2021-05-02,2020,4066261,BamAdebayo,mia
7,CLE,W124-107,33.0,46.2,0.0,50.0,10.0,6.0,0.0,4.0,2.0,0.0,13.0,6.0,13.0,0.0,0.0,1.0,2.0,away,2021-05-01,2020,4066261,BamAdebayo,mia
0,SA,W116-111,32.0,63.6,0.0,87.5,11.0,2.0,0.0,1.0,4.0,2.0,21.0,7.0,11.0,0.0,0.0,7.0,8.0,home,2021-04-28,2020,4066261,BamAdebayo,mia
1,CHI,L110-102,37.0,64.3,0.0,83.3,6.0,2.0,2.0,2.0,1.0,1.0,23.0,9.0,14.0,0.0,0.0,5.0,6.0,home,2021-04-26,2020,4066261,BamAdebayo,mia
2,CHI,W106-101,35.0,0.0,0.0,85.7,6.0,10.0,0.0,2.0,2.0,1.0,20.0,7.0,13.0,0.0,0.0,6.0,7.0,home,2021-04-24,2020,4066261,BamAdebayo,mia
