,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
0,UTAH,L126-110,15.0,25.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,0.0,2.0,0.0,0.0,away,2021-06-02,2020,3135045,GraysonAllen,mil
2,UTAH,L120-113,29.0,37.5,28.6,0.0,3.0,0.0,1.0,1.0,3.0,0.0,8.0,3.0,8.0,2.0,7.0,0.0,0.0,home,2021-05-31,2020,3135045,GraysonAllen,mil
4,UTAH,L121-111,30.0,54.5,62.5,0.0,3.0,0.0,0.0,1.0,4.0,1.0,17.0,6.0,11.0,5.0,8.0,0.0,0.0,home,2021-05-29,2020,3135045,GraysonAllen,mil
6,UTAH,L141-129,19.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,away,2021-05-26,2020,3135045,GraysonAllen,mil
8,UTAH,W112-109,23.0,50.0,50.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,2.0,4.0,1.0,2.0,0.0,1.0,away,2021-05-23,2020,3135045,GraysonAllen,mil
0,MIN,W139-135,6.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,away,2021-05-05,2020,3135045,GraysonAllen,mil
1,NY,L118-104,26.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0,4.0,2.0,2.0,home,2021-05-03,2020,3135045,GraysonAllen,mil
0,POR,L130-109,22.0,42.9,33.3,0.0,2.0,2.0,0.0,0.0,1.0,0.0,7.0,3.0,7.0,1.0,3.0,0.0,0.0,home,2021-04-28,2020,3135045,GraysonAllen,mil
1,DEN,L120-96,25.0,42.9,33.3,0.0,2.0,0.0,0.0,0.0,1.0,0.0,8.0,3.0,7.0,2.0,6.0,0.0,0.0,away,2021-04-26,2020,3135045,GraysonAllen,mil
2,POR,W120-113,27.0,25.0,0.0,100.0,5.0,2.0,1.0,1.0,4.0,1.0,9.0,3.0,12.0,0.0,4.0,3.0,3.0,away,2021-04-25,2020,3135045,GraysonAllen,mil
3,POR,W130-128,23.0,16.7,0.0,0.0,6.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,6.0,0.0,5.0,0.0,0.0,away,2021-04-23,2020,3135045,GraysonAllen,mil
4,LAC,L117-105,26.0,25.0,50.0,75.0,2.0,3.0,0.0,0.0,1.0,1.0,6.0,1.0,4.0,1.0,2.0,3.0,4.0,away,2021-04-21,2020,3135045,GraysonAllen,mil
5,DEN,L139-137 2OT,43.0,40.0,30.0,100.0,3.0,1.0,0.0,3.0,2.0,3.0,24.0,8.0,20.0,3.0,10.0,5.0,5.0,away,2021-04-19,2020,3135045,GraysonAllen,mil
6,MIL,W128-115,34.0,69.2,70.0,50.0,4.0,1.0,0.0,2.0,1.0,1.0,26.0,9.0,13.0,7.0,10.0,1.0,2.0,away,2021-04-17,2020,3135045,GraysonAllen,mil
7,CHI,W126-115,26.0,0.0,42.9,50.0,3.0,3.0,0.0,0.0,2.0,0.0,11.0,3.0,9.0,3.0,7.0,2.0,4.0,away,2021-04-16,2020,3135045,GraysonAllen,mil
8,DAL,L114-113,35.0,53.8,54.5,60.0,4.0,2.0,0.0,2.0,2.0,0.0,23.0,7.0,13.0,6.0,11.0,3.0,5.0,home,2021-04-14,2020,3135045,GraysonAllen,mil
9,CHI,W101-90,32.0,50.0,44.4,0.0,6.0,2.0,0.0,0.0,1.0,4.0,14.0,5.0,10.0,4.0,9.0,0.0,0.0,home,2021-04-12,2020,3135045,GraysonAllen,mil
10,IND,L132-125,22.0,28.6,20.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,5.0,2.0,7.0,1.0,5.0,0.0,0.0,home,2021-04-11,2020,3135045,GraysonAllen,mil
11,NY,L133-129 OT,32.0,33.3,25.0,100.0,0.0,4.0,0.0,1.0,6.0,2.0,10.0,3.0,9.0,1.0,4.0,3.0,3.0,away,2021-04-09,2020,3135045,GraysonAllen,mil
12,ATL,W131-113,30.0,55.6,33.3,87.5,4.0,3.0,0.0,0.0,2.0,0.0,30.0,10.0,18.0,3.0,9.0,7.0,8.0,away,2021-04-07,2020,3135045,GraysonAllen,mil
13,MIA,W124-112,25.0,33.3,20.0,100.0,1.0,3.0,0.0,0.0,2.0,0.0,8.0,3.0,9.0,1.0,5.0,1.0,1.0,away,2021-04-06,2020,3135045,GraysonAllen,mil
14,PHI,W116-100,27.0,35.7,30.8,100.0,5.0,2.0,2.0,2.0,2.0,2.0,15.0,5.0,14.0,4.0,13.0,1.0,1.0,away,2021-04-04,2020,3135045,GraysonAllen,mil
15,MIN,W120-108,22.0,71.4,71.4,0.0,3.0,1.0,0.0,0.0,0.0,1.0,15.0,5.0,7.0,5.0,7.0,0.0,0.0,home,2021-04-02,2020,3135045,GraysonAllen,mil
0,HOU,W120-110,7.0,100.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,away,2021-03-29,2020,3135045,GraysonAllen,mil
1,UTAH,L126-110,24.0,28.6,20.0,100.0,3.0,3.0,0.0,4.0,2.0,1.0,9.0,2.0,7.0,1.0,5.0,4.0,4.0,away,2021-03-27,2020,3135045,GraysonAllen,mil
2,UTAH,L117-114,29.0,46.2,55.6,0.0,5.0,1.0,0.0,0.0,2.0,0.0,17.0,6.0,13.0,5.0,9.0,0.0,0.0,away,2021-03-26,2020,3135045,GraysonAllen,mil
3,OKC,W116-107,26.0,57.1,44.4,0.0,5.0,2.0,0.0,0.0,1.0,2.0,20.0,8.0,14.0,4.0,9.0,0.0,0.0,away,2021-03-24,2020,3135045,GraysonAllen,mil
4,BOS,W132-126 OT,33.0,42.9,50.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,9.0,3.0,7.0,3.0,6.0,0.0,0.0,home,2021-03-22,2020,3135045,GraysonAllen,mil
5,GS,W111-103,32.0,22.2,0.0,66.7,8.0,2.0,1.0,3.0,0.0,0.0,6.0,2.0,9.0,0.0,3.0,2.0,3.0,home,2021-03-20,2020,3135045,GraysonAllen,mil
6,GS,L116-103,24.0,75.0,66.7,0.0,3.0,3.0,0.0,1.0,1.0,2.0,14.0,6.0,8.0,2.0,3.0,0.0,0.0,home,2021-03-19,2020,3135045,GraysonAllen,mil
7,MIA,W89-85,25.0,23.1,28.6,100.0,6.0,1.0,0.0,0.0,2.0,2.0,9.0,3.0,13.0,2.0,7.0,1.0,1.0,home,2021-03-17,2020,3135045,GraysonAllen,mil
8,PHX,L122-99,23.0,50.0,40.0,100.0,2.0,4.0,0.0,2.0,1.0,2.0,15.0,4.0,8.0,2.0,5.0,5.0,5.0,away,2021-03-15,2020,3135045,GraysonAllen,mil
0,LAC,L119-99,19.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,home,2021-02-26,2020,3135045,GraysonAllen,mil
1,LAC,W122-94,22.0,66.7,100.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,10.0,4.0,6.0,2.0,2.0,0.0,0.0,home,2021-02-25,2020,3135045,GraysonAllen,mil
2,DAL,L102-92,25.0,16.7,0.0,100.0,5.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,6.0,0.0,4.0,1.0,1.0,away,2021-02-22,2020,3135045,GraysonAllen,mil
3,DET,W109-95,30.0,25.0,0.0,0.0,2.0,6.0,0.0,3.0,3.0,0.0,4.0,2.0,8.0,0.0,3.0,0.0,0.0,home,2021-02-19,2020,3135045,GraysonAllen,mil
4,OKC,W122-113,32.0,53.8,60.0,100.0,4.0,3.0,0.0,1.0,2.0,0.0,22.0,7.0,13.0,6.0,10.0,2.0,2.0,home,2021-02-17,2020,3135045,GraysonAllen,mil
5,NO,L144-113,26.0,42.9,40.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,8.0,3.0,7.0,2.0,5.0,0.0,0.0,home,2021-02-16,2020,3135045,GraysonAllen,mil
6,SAC,W124-110,31.0,57.1,66.7,0.0,4.0,3.0,0.0,1.0,1.0,0.0,10.0,4.0,7.0,2.0,3.0,0.0,0.0,away,2021-02-14,2020,3135045,GraysonAllen,mil
7,LAL,L115-105,35.0,61.5,60.0,100.0,3.0,1.0,0.0,2.0,3.0,3.0,23.0,8.0,13.0,6.0,10.0,1.0,1.0,away,2021-02-12,2020,3135045,GraysonAllen,mil
8,CHA,W130-114,30.0,38.5,41.7,75.0,3.0,3.0,0.0,1.0,4.0,2.0,18.0,5.0,13.0,5.0,12.0,3.0,4.0,home,2021-02-10,2020,3135045,GraysonAllen,mil
9,TOR,L128-113,21.0,50.0,50.0,100.0,3.0,1.0,0.0,1.0,2.0,0.0,12.0,3.0,6.0,3.0,6.0,3.0,3.0,home,2021-02-08,2020,3135045,GraysonAllen,mil
10,NO,L118-109,22.0,33.3,40.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,8.0,3.0,9.0,2.0,5.0,0.0,0.0,away,2021-02-06,2020,3135045,GraysonAllen,mil
0,PHX,W108-104,26.0,50.0,40.0,85.7,6.0,3.0,0.0,1.0,0.0,4.0,16.0,4.0,8.0,2.0,5.0,6.0,7.0,home,2021-01-18,2020,3135045,GraysonAllen,mil
1,PHI,W106-104,26.0,33.3,60.0,75.0,7.0,4.0,0.0,0.0,2.0,1.0,12.0,3.0,9.0,3.0,5.0,3.0,4.0,home,2021-01-16,2020,3135045,GraysonAllen,mil
2,MIN,W118-107,26.0,60.0,60.0,100.0,0.0,2.0,2.0,2.0,2.0,1.0,20.0,6.0,10.0,3.0,5.0,5.0,5.0,away,2021-01-13,2020,3135045,GraysonAllen,mil
3,CLE,W101-91,18.0,50.0,25.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,7.0,3.0,6.0,1.0,4.0,0.0,0.0,away,2021-01-11,2020,3135045,GraysonAllen,mil
4,BKN,W115-110,23.0,42.9,50.0,100.0,4.0,0.0,0.0,2.0,2.0,2.0,10.0,3.0,7.0,2.0,4.0,2.0,2.0,home,2021-01-08,2020,3135045,GraysonAllen,mil
5,CLE,L94-90,16.0,40.0,40.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,6.0,2.0,5.0,2.0,5.0,0.0,0.0,home,2021-01-07,2020,3135045,GraysonAllen,mil
6,LAL,L94-92,16.0,50.0,50.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,home,2021-01-05,2020,3135045,GraysonAllen,mil
7,LAL,L108-94,15.0,16.7,25.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,3.0,1.0,6.0,1.0,4.0,0.0,0.0,home,2021-01-03,2020,3135045,GraysonAllen,mil
0,BOS,L126-107,12.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,away,2020-12-30,2020,3135045,GraysonAllen,mil
1,BKN,W116-111 OT,24.0,0.0,0.0,75.0,4.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,5.0,0.0,4.0,3.0,4.0,away,2020-12-28,2020,3135045,GraysonAllen,mil
2,ATL,L122-112,29.0,33.3,20.0,100.0,4.0,2.0,0.0,0.0,0.0,0.0,10.0,2.0,6.0,1.0,5.0,5.0,5.0,home,2020-12-26,2020,3135045,GraysonAllen,mil
