,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
0,MEM,L120-108,29.0,16.7,20.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,12.0,1.0,5.0,0.0,0.0,away,2021-04-02,2020,3907822,MalikBeasley,min
0,NY,W102-101,32.0,55.6,62.5,83.3,1.0,0.0,1.0,1.0,1.0,1.0,20.0,5.0,9.0,5.0,8.0,5.0,6.0,home,2021-03-31,2020,3907822,MalikBeasley,min
1,BKN,L112-107,31.0,25.0,30.0,0.0,1.0,4.0,0.0,0.0,5.0,4.0,9.0,3.0,12.0,3.0,10.0,0.0,0.0,away,2021-03-29,2020,3907822,MalikBeasley,min
2,HOU,L129-107,30.0,23.5,25.0,100.0,4.0,3.0,0.0,2.0,1.0,1.0,13.0,4.0,17.0,3.0,12.0,2.0,2.0,home,2021-03-27,2020,3907822,MalikBeasley,min
0,CHI,L133-126 OT,37.0,45.0,38.5,100.0,2.0,1.0,0.0,0.0,3.0,2.0,25.0,9.0,20.0,5.0,13.0,2.0,2.0,away,2021-02-24,2020,3907822,MalikBeasley,min
1,MIL,L139-112,34.0,62.5,66.7,0.0,1.0,4.0,0.0,1.0,0.0,2.0,26.0,10.0,16.0,6.0,9.0,0.0,0.0,away,2021-02-23,2020,3907822,MalikBeasley,min
2,NY,L103-99,38.0,33.3,50.0,0.0,4.0,2.0,0.0,1.0,1.0,1.0,6.0,2.0,6.0,2.0,4.0,0.0,0.0,away,2021-02-21,2020,3907822,MalikBeasley,min
3,TOR,L86-81,33.0,31.3,33.3,0.0,5.0,1.0,1.0,0.0,0.0,1.0,13.0,5.0,16.0,3.0,9.0,0.0,0.0,home,2021-02-19,2020,3907822,MalikBeasley,min
4,IND,L134-128 OT,41.0,52.0,38.5,0.0,2.0,3.0,0.0,3.0,3.0,3.0,31.0,13.0,25.0,5.0,13.0,0.0,1.0,home,2021-02-17,2020,3907822,MalikBeasley,min
5,LAL,L112-104,36.0,26.7,33.3,0.0,2.0,1.0,0.0,1.0,4.0,4.0,11.0,4.0,15.0,3.0,9.0,0.0,0.0,home,2021-02-16,2020,3907822,MalikBeasley,min
6,TOR,W116-112,37.0,53.8,60.0,0.0,3.0,6.0,0.0,1.0,0.0,3.0,20.0,7.0,13.0,6.0,10.0,0.0,0.0,away,2021-02-14,2020,3907822,MalikBeasley,min
7,CHA,L120-114,37.0,57.1,53.8,0.0,5.0,1.0,0.0,1.0,3.0,1.0,31.0,12.0,21.0,7.0,13.0,0.0,0.0,away,2021-02-12,2020,3907822,MalikBeasley,min
8,LAC,L119-112,34.0,33.3,36.4,100.0,5.0,2.0,0.0,1.0,5.0,2.0,21.0,5.0,15.0,4.0,11.0,7.0,7.0,home,2021-02-10,2020,3907822,MalikBeasley,min
9,DAL,L127-122,34.0,47.6,50.0,66.7,9.0,6.0,1.0,1.0,0.0,0.0,30.0,10.0,21.0,6.0,12.0,4.0,6.0,away,2021-02-08,2020,3907822,MalikBeasley,min
10,OKC,L120-118,34.0,36.8,27.3,0.0,6.0,5.0,0.0,1.0,0.0,2.0,17.0,7.0,19.0,3.0,11.0,0.0,1.0,away,2021-02-06,2020,3907822,MalikBeasley,min
11,OKC,W106-103,32.0,47.4,50.0,0.0,5.0,3.0,0.0,1.0,3.0,2.0,24.0,9.0,19.0,6.0,12.0,0.0,0.0,away,2021-02-05,2020,3907822,MalikBeasley,min
12,SA,L111-108,32.0,66.7,50.0,100.0,6.0,1.0,0.0,1.0,2.0,0.0,29.0,12.0,18.0,4.0,8.0,1.0,1.0,away,2021-02-03,2020,3907822,MalikBeasley,min
13,CLE,L100-98,33.0,35.7,0.0,0.0,7.0,3.0,0.0,1.0,2.0,4.0,10.0,5.0,14.0,0.0,6.0,0.0,0.0,away,2021-02-01,2020,3907822,MalikBeasley,min
0,CLE,W109-104,28.0,52.9,45.5,0.0,3.0,2.0,0.0,1.0,2.0,1.0,23.0,9.0,17.0,5.0,11.0,0.0,2.0,home,2021-01-31,2020,3907822,MalikBeasley,min
1,PHI,L118-94,30.0,47.4,33.3,100.0,5.0,2.0,0.0,0.0,3.0,3.0,22.0,9.0,19.0,3.0,9.0,1.0,1.0,home,2021-01-29,2020,3907822,MalikBeasley,min
2,GS,L123-111,30.0,38.9,44.4,87.5,5.0,1.0,0.0,1.0,1.0,1.0,25.0,7.0,18.0,4.0,9.0,7.0,8.0,away,2021-01-27,2020,3907822,MalikBeasley,min
3,GS,L130-108,30.0,55.6,44.4,100.0,7.0,0.0,0.0,1.0,1.0,3.0,30.0,10.0,18.0,4.0,9.0,6.0,6.0,away,2021-01-25,2020,3907822,MalikBeasley,min
4,NO,W120-110,31.0,33.3,25.0,100.0,6.0,3.0,0.0,0.0,1.0,0.0,16.0,6.0,18.0,2.0,8.0,2.0,2.0,home,2021-01-23,2020,3907822,MalikBeasley,min
5,ATL,L116-98,25.0,63.6,40.0,100.0,1.0,4.0,0.0,2.0,2.0,2.0,17.0,7.0,11.0,2.0,5.0,1.0,1.0,home,2021-01-22,2020,3907822,MalikBeasley,min
6,ORL,L97-96,34.0,33.3,30.0,0.0,7.0,5.0,0.0,1.0,1.0,1.0,13.0,5.0,15.0,3.0,10.0,0.0,0.0,home,2021-01-20,2020,3907822,MalikBeasley,min
7,ATL,L108-97,34.0,29.4,40.0,100.0,5.0,3.0,1.0,1.0,3.0,3.0,15.0,5.0,17.0,4.0,10.0,1.0,1.0,away,2021-01-18,2020,3907822,MalikBeasley,min
8,MEM,L118-107,34.0,47.8,36.4,66.7,6.0,5.0,1.0,1.0,0.0,1.0,28.0,11.0,23.0,4.0,11.0,2.0,3.0,home,2021-01-13,2020,3907822,MalikBeasley,min
9,SA,W96-88,35.0,50.0,50.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,24.0,9.0,18.0,3.0,6.0,3.0,3.0,home,2021-01-10,2020,3907822,MalikBeasley,min
10,SA,L125-122 OT,40.0,55.0,63.6,0.0,4.0,2.0,0.0,0.0,2.0,2.0,29.0,11.0,20.0,7.0,11.0,0.0,0.0,home,2021-01-09,2020,3907822,MalikBeasley,min
11,POR,L135-117,28.0,23.1,50.0,75.0,4.0,2.0,0.0,1.0,1.0,3.0,12.0,3.0,13.0,3.0,6.0,3.0,4.0,away,2021-01-07,2020,3907822,MalikBeasley,min
12,DEN,L123-116,38.0,31.3,0.0,100.0,6.0,4.0,0.0,0.0,1.0,1.0,15.0,5.0,16.0,0.0,6.0,5.0,5.0,away,2021-01-05,2020,3907822,MalikBeasley,min
13,DEN,L124-109,38.0,62.5,60.0,100.0,7.0,5.0,2.0,1.0,0.0,1.0,25.0,10.0,16.0,3.0,5.0,2.0,2.0,home,2021-01-03,2020,3907822,MalikBeasley,min
14,WSH,L130-109,26.0,61.5,50.0,100.0,3.0,0.0,0.0,0.0,4.0,1.0,21.0,8.0,13.0,3.0,6.0,2.0,2.0,home,2021-01-01,2020,3907822,MalikBeasley,min
0,LAC,L124-101,28.0,31.3,25.0,87.5,4.0,0.0,0.0,0.0,0.0,1.0,19.0,5.0,16.0,2.0,8.0,7.0,8.0,away,2020-12-29,2020,3907822,MalikBeasley,min
1,LAL,L127-91,24.0,33.3,0.0,66.7,5.0,2.0,0.0,1.0,0.0,0.0,8.0,3.0,9.0,0.0,3.0,2.0,3.0,away,2020-12-27,2020,3907822,MalikBeasley,min
2,UTAH,W116-111,39.0,41.2,25.0,100.0,6.0,0.0,0.0,1.0,3.0,2.0,18.0,7.0,17.0,1.0,4.0,3.0,3.0,away,2020-12-26,2020,3907822,MalikBeasley,min
3,DET,W111-101,27.0,55.6,33.3,0.0,4.0,2.0,0.0,1.0,3.0,1.0,23.0,10.0,18.0,3.0,9.0,0.0,0.0,home,2020-12-23,2020,3907822,MalikBeasley,min
0,DAL,W129-127 OT,24.0,53.8,75.0,50.0,11.0,2.0,0.0,1.0,2.0,1.0,18.0,7.0,13.0,3.0,4.0,1.0,2.0,away,2020-12-17,2020,3907822,MalikBeasley,min
1,MEM,L123-104,22.0,30.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,4.0,6.0,3.0,10.0,0.0,3.0,0.0,0.0,home,2020-12-14,2020,3907822,MalikBeasley,min
2,MEM,L107-105,23.0,36.4,33.3,100.0,5.0,3.0,0.0,0.0,2.0,2.0,12.0,4.0,11.0,2.0,6.0,2.0,2.0,home,2020-12-12,2020,3907822,MalikBeasley,min
0,HOU,L117-111,33.0,18.2,20.0,0.0,3.0,1.0,0.0,1.0,1.0,2.0,5.0,2.0,11.0,1.0,5.0,0.0,0.0,away,2020-03-10,2019,3907822,MalikBeasley,min
1,NO,L120-107,32.0,40.0,57.1,33.3,9.0,0.0,0.0,1.0,0.0,1.0,21.0,8.0,20.0,4.0,7.0,1.0,3.0,home,2020-03-08,2019,3907822,MalikBeasley,min
2,ORL,L132-118,28.0,66.7,20.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,29.0,14.0,21.0,1.0,5.0,0.0,0.0,home,2020-03-06,2019,3907822,MalikBeasley,min
3,CHI,W115-108,34.0,57.1,50.0,100.0,3.0,2.0,0.0,0.0,1.0,3.0,24.0,8.0,14.0,4.0,8.0,4.0,4.0,home,2020-03-04,2019,3907822,MalikBeasley,min
4,NO,W139-134,36.0,84.6,80.0,100.0,3.0,4.0,0.0,0.0,3.0,1.0,28.0,11.0,13.0,4.0,5.0,2.0,2.0,away,2020-03-03,2019,3907822,MalikBeasley,min
5,DAL,L111-91,30.0,33.3,44.4,0.0,3.0,1.0,0.0,1.0,1.0,1.0,14.0,5.0,15.0,4.0,9.0,0.0,0.0,home,2020-03-01,2019,3907822,MalikBeasley,min
0,ORL,L136-125,34.0,38.9,33.3,0.0,4.0,1.0,0.0,1.0,1.0,0.0,17.0,7.0,18.0,3.0,9.0,0.0,0.0,away,2020-02-28,2019,3907822,MalikBeasley,min
1,MIA,W129-126,33.0,50.0,33.3,80.0,6.0,5.0,0.0,2.0,3.0,1.0,21.0,7.0,14.0,3.0,9.0,4.0,5.0,away,2020-02-26,2019,3907822,MalikBeasley,min
2,DAL,L139-123,35.0,40.0,41.7,0.0,4.0,1.0,0.0,0.0,4.0,1.0,21.0,8.0,20.0,5.0,12.0,0.0,2.0,away,2020-02-24,2019,3907822,MalikBeasley,min
3,DEN,L128-116,34.0,46.2,40.0,75.0,8.0,1.0,1.0,1.0,1.0,1.0,17.0,6.0,13.0,2.0,5.0,3.0,4.0,away,2020-02-23,2019,3907822,MalikBeasley,min
4,BOS,L127-117,36.0,55.6,50.0,100.0,4.0,1.0,1.0,0.0,4.0,2.0,27.0,10.0,18.0,4.0,8.0,3.0,3.0,home,2020-02-21,2019,3907822,MalikBeasley,min
5,CHA,L115-108,38.0,44.0,35.7,100.0,6.0,3.0,0.0,0.0,1.0,2.0,28.0,11.0,25.0,5.0,14.0,1.0,1.0,home,2020-02-12,2019,3907822,MalikBeasley,min
6,TOR,L137-126,32.0,41.7,33.3,75.0,4.0,2.0,0.0,1.0,3.0,4.0,15.0,5.0,12.0,2.0,6.0,3.0,4.0,away,2020-02-10,2019,3907822,MalikBeasley,min
7,LAC,W142-115,29.0,42.1,53.8,0.0,10.0,4.0,0.0,1.0,4.0,1.0,23.0,8.0,19.0,7.0,13.0,0.0,0.0,home,2020-02-08,2019,3907822,MalikBeasley,min
9,POR,W127-99,24.0,33.3,30.0,25.0,4.0,2.0,0.0,0.0,2.0,1.0,14.0,5.0,15.0,3.0,10.0,1.0,4.0,home,2020-02-04,2019,3907822,MalikBeasley,min
10,DET,L128-123 OT,24.0,55.6,40.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,12.0,5.0,9.0,2.0,5.0,0.0,0.0,away,2020-02-02,2019,3907822,MalikBeasley,min
0,MIL,W127-115,27.0,41.7,50.0,100.0,4.0,1.0,0.0,2.0,2.0,1.0,16.0,5.0,12.0,5.0,10.0,1.0,1.0,away,2020-01-31,2019,3907822,MalikBeasley,min
1,UTAH,W106-100,24.0,25.0,25.0,100.0,3.0,4.0,0.0,0.0,1.0,0.0,7.0,2.0,8.0,1.0,4.0,2.0,2.0,home,2020-01-30,2019,3907822,MalikBeasley,min
2,MEM,L104-96,17.0,20.0,0.0,100.0,3.0,1.0,0.0,1.0,1.0,3.0,4.0,1.0,5.0,0.0,3.0,2.0,2.0,away,2020-01-28,2019,3907822,MalikBeasley,min
3,HOU,W117-110,26.0,27.3,0.0,100.0,3.0,1.0,0.0,3.0,1.0,2.0,10.0,3.0,11.0,0.0,4.0,4.0,4.0,home,2020-01-26,2019,3907822,MalikBeasley,min
4,NO,W113-106,18.0,37.5,25.0,100.0,2.0,3.0,1.0,3.0,1.0,1.0,10.0,3.0,8.0,1.0,4.0,3.0,3.0,away,2020-01-24,2019,3907822,MalikBeasley,min
5,HOU,L121-105,31.0,40.0,20.0,100.0,0.0,1.0,0.0,0.0,4.0,1.0,12.0,4.0,10.0,1.0,5.0,3.0,3.0,away,2020-01-22,2019,3907822,MalikBeasley,min
6,MIN,W107-100,24.0,40.0,50.0,100.0,3.0,0.0,0.0,3.0,1.0,1.0,11.0,4.0,10.0,1.0,2.0,2.0,2.0,away,2020-01-20,2019,3907822,MalikBeasley,min
7,IND,L115-107,14.0,14.3,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,7.0,0.0,3.0,0.0,0.0,home,2020-01-19,2019,3907822,MalikBeasley,min
8,GS,W134-131 OT,39.0,56.3,50.0,100.0,4.0,1.0,0.0,3.0,5.0,0.0,27.0,9.0,16.0,5.0,10.0,4.0,4.0,away,2020-01-16,2019,3907822,MalikBeasley,min
9,CHA,W100-86,7.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,home,2020-01-15,2019,3907822,MalikBeasley,min
10,CLE,L111-103,13.0,0.0,0.0,100.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,0.0,4.0,2.0,2.0,home,2020-01-11,2019,3907822,MalikBeasley,min
11,DAL,W107-106,26.0,40.0,50.0,0.0,5.0,2.0,1.0,0.0,1.0,2.0,10.0,4.0,10.0,2.0,4.0,0.0,0.0,away,2020-01-08,2019,3907822,MalikBeasley,min
12,WSH,L128-114,16.0,50.0,40.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,3.0,6.0,2.0,5.0,0.0,0.0,away,2020-01-04,2019,3907822,MalikBeasley,min
0,HOU,L130-104,20.0,60.0,50.0,100.0,2.0,0.0,0.0,1.0,1.0,1.0,10.0,3.0,5.0,2.0,4.0,2.0,2.0,away,2019-12-31,2019,3907822,MalikBeasley,min
1,SAC,W120-115,24.0,41.7,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,11.0,5.0,12.0,1.0,5.0,0.0,0.0,home,2019-12-29,2019,3907822,MalikBeasley,min
2,MEM,W119-110,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,home,2019-12-28,2019,3907822,MalikBeasley,min
3,NO,L112-100,22.0,35.7,30.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,13.0,5.0,14.0,3.0,10.0,0.0,0.0,home,2019-12-25,2019,3907822,MalikBeasley,min
4,PHX,W113-111,20.0,42.9,50.0,0.0,1.0,1.0,0.0,1.0,4.0,3.0,7.0,3.0,7.0,1.0,2.0,0.0,0.0,away,2019-12-23,2019,3907822,MalikBeasley,min
5,LAL,W128-104,22.0,54.5,42.9,50.0,2.0,2.0,0.0,1.0,1.0,0.0,16.0,6.0,11.0,3.0,7.0,1.0,2.0,away,2019-12-22,2019,3907822,MalikBeasley,min
6,MIN,W109-100,14.0,40.0,50.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,2.0,5.0,2.0,4.0,0.0,0.0,home,2019-12-20,2019,3907822,MalikBeasley,min
7,ORL,W113-104,11.0,50.0,50.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,home,2019-12-18,2019,3907822,MalikBeasley,min
8,PHI,L97-92,12.0,40.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,5.0,1.0,3.0,0.0,0.0,away,2019-12-10,2019,3907822,MalikBeasley,min
9,BKN,L105-102,16.0,33.3,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,away,2019-12-08,2019,3907822,MalikBeasley,min
10,BOS,L108-95,15.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,7.0,0.0,3.0,0.0,0.0,away,2019-12-06,2019,3907822,MalikBeasley,min
11,NY,W129-92,24.0,55.6,50.0,50.0,2.0,1.0,0.0,0.0,0.0,1.0,14.0,5.0,9.0,3.0,6.0,1.0,2.0,away,2019-12-05,2019,3907822,MalikBeasley,min
12,LAL,L105-96,13.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,11.0,0.0,3.0,0.0,0.0,home,2019-12-03,2019,3907822,MalikBeasley,min
0,SAC,L100-97 OT,20.0,50.0,100.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,11.0,4.0,8.0,3.0,3.0,0.0,0.0,away,2019-11-30,2019,3907822,MalikBeasley,min
1,WSH,W117-104,19.0,60.0,33.3,100.0,4.0,2.0,0.0,1.0,2.0,2.0,9.0,3.0,5.0,1.0,3.0,2.0,2.0,home,2019-11-26,2019,3907822,MalikBeasley,min
2,PHX,W116-104,11.0,50.0,100.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,6.0,2.0,4.0,2.0,2.0,0.0,0.0,home,2019-11-24,2019,3907822,MalikBeasley,min
