,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
0,LAL,L110-98,37.0,33.3,25.0,100.0,4.0,5.0,0.0,1.0,0.0,4.0,14.0,5.0,15.0,2.0,8.0,2.0,2.0,home,2021-05-16,2020,4278039,NickeilAlexander-Walker,no
1,GS,L125-122,40.0,45.8,50.0,57.1,5.0,4.0,1.0,3.0,3.0,2.0,30.0,11.0,24.0,4.0,8.0,4.0,7.0,away,2021-05-14,2020,4278039,NickeilAlexander-Walker,no
2,DAL,L125-107,35.0,35.7,20.0,66.7,2.0,3.0,0.0,1.0,2.0,2.0,13.0,5.0,14.0,1.0,5.0,2.0,3.0,away,2021-05-12,2020,4278039,NickeilAlexander-Walker,no
3,MEM,L115-110,24.0,50.0,28.6,0.0,3.0,6.0,0.0,1.0,4.0,2.0,18.0,8.0,16.0,2.0,7.0,0.0,0.0,away,2021-05-10,2020,4278039,NickeilAlexander-Walker,no
4,CHA,W112-110,21.0,45.5,50.0,50.0,4.0,3.0,0.0,1.0,2.0,2.0,13.0,5.0,11.0,2.0,4.0,1.0,2.0,away,2021-05-09,2020,4278039,NickeilAlexander-Walker,no
0,HOU,W122-115,14.0,40.0,0.0,50.0,1.0,0.0,1.0,2.0,1.0,0.0,5.0,2.0,5.0,0.0,1.0,1.0,2.0,away,2021-04-04,2020,4278039,NickeilAlexander-Walker,no
1,ATL,L126-103,36.0,20.0,25.0,80.0,3.0,3.0,2.0,1.0,2.0,3.0,12.0,3.0,15.0,2.0,8.0,4.0,5.0,home,2021-04-02,2020,4278039,NickeilAlexander-Walker,no
2,ORL,L115-110 OT,39.0,54.2,57.1,50.0,8.0,3.0,1.0,1.0,3.0,5.0,31.0,13.0,24.0,4.0,7.0,1.0,2.0,home,2021-04-01,2020,4278039,NickeilAlexander-Walker,no
0,BOS,W115-109,34.0,46.7,33.3,0.0,7.0,3.0,0.0,0.0,3.0,1.0,17.0,7.0,15.0,3.0,9.0,0.0,2.0,away,2021-03-29,2020,4278039,NickeilAlexander-Walker,no
1,DAL,W112-103,32.0,41.2,60.0,0.0,5.0,1.0,1.0,0.0,6.0,0.0,20.0,7.0,17.0,6.0,10.0,0.0,0.0,home,2021-03-27,2020,4278039,NickeilAlexander-Walker,no
