,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
0,ATL,L103-89,40.0,35.7,33.3,83.3,7.0,5.0,1.0,0.0,3.0,1.0,17.0,5.0,14.0,2.0,6.0,5.0,6.0,home,2021-06-02,2020,4395625,RJBarrett,ny
2,ATL,L113-96,36.0,53.3,33.3,75.0,6.0,4.0,0.0,2.0,1.0,0.0,21.0,8.0,15.0,2.0,6.0,3.0,4.0,away,2021-05-30,2020,4395625,RJBarrett,ny
4,ATL,L105-94,29.0,22.2,20.0,100.0,4.0,3.0,1.0,1.0,2.0,1.0,7.0,2.0,9.0,1.0,5.0,2.0,2.0,away,2021-05-28,2020,4395625,RJBarrett,ny
6,ATL,W101-92,26.0,35.7,40.0,100.0,8.0,2.0,0.0,1.0,3.0,0.0,13.0,5.0,14.0,2.0,5.0,1.0,1.0,home,2021-05-26,2020,4395625,RJBarrett,ny
8,ATL,L107-105,32.0,40.0,16.7,50.0,11.0,1.0,0.0,0.0,2.0,0.0,14.0,6.0,15.0,1.0,6.0,1.0,2.0,home,2021-05-23,2020,4395625,RJBarrett,ny
0,BOS,W96-92,33.0,58.3,50.0,75.0,4.0,2.0,0.0,0.0,4.0,1.0,22.0,7.0,12.0,2.0,4.0,6.0,8.0,home,2021-05-16,2020,4395625,RJBarrett,ny
1,CHA,W118-109 OT,27.0,40.0,100.0,0.0,4.0,4.0,1.0,0.0,2.0,2.0,9.0,4.0,10.0,1.0,1.0,0.0,0.0,home,2021-05-15,2020,4395625,RJBarrett,ny
2,SA,W102-98,41.0,42.1,55.6,100.0,9.0,5.0,0.0,1.0,1.0,2.0,24.0,8.0,19.0,5.0,9.0,3.0,3.0,home,2021-05-13,2020,4395625,RJBarrett,ny
3,LAL,L101-99 OT,38.0,14.3,0.0,66.7,4.0,2.0,0.0,1.0,2.0,1.0,8.0,2.0,14.0,0.0,7.0,4.0,6.0,away,2021-05-11,2020,4395625,RJBarrett,ny
4,LAC,W106-100,45.0,38.9,57.1,0.0,7.0,4.0,1.0,2.0,4.0,1.0,18.0,7.0,18.0,4.0,7.0,0.0,0.0,away,2021-05-09,2020,4395625,RJBarrett,ny
5,PHX,L128-105,41.0,36.4,45.5,100.0,8.0,3.0,0.0,0.0,2.0,3.0,23.0,8.0,22.0,5.0,11.0,2.0,2.0,away,2021-05-07,2020,4395625,RJBarrett,ny
6,DEN,L113-97,28.0,30.8,50.0,100.0,3.0,1.0,1.0,0.0,3.0,0.0,14.0,4.0,13.0,4.0,8.0,2.0,2.0,away,2021-05-05,2020,4395625,RJBarrett,ny
7,MEM,W118-104,34.0,41.7,100.0,66.7,7.0,3.0,0.0,0.0,0.0,0.0,15.0,5.0,12.0,1.0,1.0,4.0,6.0,away,2021-05-03,2020,4395625,RJBarrett,ny
8,HOU,W122-97,40.0,46.7,42.9,80.0,7.0,5.0,0.0,2.0,3.0,3.0,21.0,7.0,15.0,3.0,7.0,4.0,5.0,away,2021-05-02,2020,4395625,RJBarrett,ny
0,CHI,W113-94,42.0,60.0,60.0,50.0,7.0,6.0,1.0,2.0,4.0,2.0,22.0,9.0,15.0,3.0,5.0,1.0,2.0,home,2021-04-28,2020,4395625,RJBarrett,ny
1,PHX,L118-110,45.0,38.9,33.3,0.0,4.0,2.0,0.0,0.0,2.0,1.0,17.0,7.0,18.0,3.0,9.0,0.0,0.0,home,2021-04-26,2020,4395625,RJBarrett,ny
2,TOR,W120-103,38.0,50.0,42.9,85.7,12.0,4.0,0.0,0.0,3.0,2.0,25.0,8.0,16.0,3.0,7.0,6.0,7.0,home,2021-04-24,2020,4395625,RJBarrett,ny
3,ATL,W137-127 OT,41.0,33.3,25.0,100.0,6.0,5.0,0.0,0.0,2.0,3.0,16.0,6.0,18.0,2.0,8.0,2.0,2.0,home,2021-04-21,2020,4395625,RJBarrett,ny
4,CHA,W109-97,40.0,47.1,54.5,100.0,1.0,0.0,1.0,0.0,3.0,2.0,24.0,8.0,17.0,6.0,11.0,2.0,2.0,home,2021-04-20,2020,4395625,RJBarrett,ny
5,NO,W122-112 OT,36.0,46.7,50.0,100.0,4.0,2.0,0.0,0.0,6.0,6.0,18.0,7.0,15.0,2.0,4.0,2.0,2.0,home,2021-04-18,2020,4395625,RJBarrett,ny
6,DAL,W117-109,46.0,50.0,50.0,60.0,8.0,2.0,0.0,1.0,4.0,1.0,24.0,9.0,18.0,3.0,6.0,3.0,5.0,away,2021-04-16,2020,4395625,RJBarrett,ny
7,NO,W116-106,28.0,20.0,33.3,100.0,4.0,1.0,1.0,2.0,2.0,1.0,6.0,2.0,10.0,1.0,3.0,1.0,1.0,away,2021-04-14,2020,4395625,RJBarrett,ny
8,LAL,W111-96,33.0,18.2,0.0,75.0,3.0,3.0,1.0,2.0,2.0,1.0,7.0,2.0,11.0,0.0,4.0,3.0,4.0,home,2021-04-12,2020,4395625,RJBarrett,ny
9,TOR,W102-96,33.0,58.3,50.0,66.7,1.0,5.0,0.0,2.0,3.0,0.0,19.0,7.0,12.0,3.0,6.0,2.0,3.0,home,2021-04-11,2020,4395625,RJBarrett,ny
10,MEM,W133-129 OT,34.0,53.8,50.0,80.0,5.0,2.0,0.0,1.0,1.0,1.0,20.0,7.0,13.0,2.0,4.0,4.0,5.0,home,2021-04-09,2020,4395625,RJBarrett,ny
11,BOS,L101-99,36.0,71.4,100.0,75.0,5.0,2.0,0.0,0.0,3.0,3.0,29.0,10.0,14.0,6.0,6.0,3.0,4.0,away,2021-04-07,2020,4395625,RJBarrett,ny
12,BKN,L114-112,33.0,53.8,66.7,100.0,4.0,0.0,0.0,0.0,2.0,5.0,22.0,7.0,13.0,4.0,6.0,4.0,4.0,away,2021-04-05,2020,4395625,RJBarrett,ny
13,DET,W125-81,28.0,71.4,100.0,75.0,0.0,4.0,1.0,2.0,2.0,1.0,14.0,5.0,7.0,1.0,1.0,3.0,4.0,away,2021-04-03,2020,4395625,RJBarrett,ny
14,DAL,L99-86,31.0,27.3,40.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,8.0,3.0,11.0,2.0,5.0,0.0,0.0,home,2021-04-02,2020,4395625,RJBarrett,ny
0,MIN,L102-101,41.0,44.4,75.0,66.7,3.0,2.0,1.0,1.0,3.0,3.0,23.0,8.0,18.0,3.0,4.0,4.0,6.0,away,2021-03-31,2020,4395625,RJBarrett,ny
1,MIA,L98-88,32.0,33.3,0.0,0.0,4.0,4.0,0.0,0.0,3.0,2.0,8.0,4.0,12.0,0.0,4.0,0.0,1.0,home,2021-03-29,2020,4395625,RJBarrett,ny
2,MIL,W102-96,38.0,36.4,30.0,100.0,7.0,7.0,0.0,1.0,1.0,5.0,21.0,8.0,22.0,3.0,10.0,2.0,2.0,away,2021-03-27,2020,4395625,RJBarrett,ny
3,WSH,W106-102,42.0,31.8,33.3,72.7,10.0,5.0,0.0,3.0,5.0,3.0,24.0,7.0,22.0,2.0,6.0,8.0,11.0,home,2021-03-25,2020,4395625,RJBarrett,ny
4,WSH,W131-113,39.0,44.4,25.0,80.0,5.0,5.0,2.0,0.0,2.0,2.0,21.0,8.0,18.0,1.0,4.0,4.0,5.0,home,2021-03-23,2020,4395625,RJBarrett,ny
5,PHI,L101-100 OT,39.0,52.9,0.0,50.0,8.0,4.0,0.0,1.0,2.0,4.0,19.0,9.0,17.0,0.0,3.0,1.0,2.0,home,2021-03-21,2020,4395625,RJBarrett,ny
6,ORL,W94-93,42.0,46.7,33.3,66.7,9.0,1.0,0.0,0.0,2.0,2.0,17.0,7.0,15.0,1.0,3.0,2.0,3.0,home,2021-03-18,2020,4395625,RJBarrett,ny
7,PHI,L99-96,41.0,41.2,0.0,42.9,8.0,4.0,0.0,1.0,3.0,2.0,17.0,7.0,17.0,0.0,1.0,3.0,7.0,away,2021-03-16,2020,4395625,RJBarrett,ny
8,BKN,L117-112,35.0,42.9,33.3,100.0,6.0,4.0,1.0,1.0,2.0,1.0,23.0,6.0,14.0,1.0,3.0,10.0,10.0,away,2021-03-15,2020,4395625,RJBarrett,ny
9,OKC,W119-97,36.0,57.1,50.0,71.4,5.0,3.0,0.0,3.0,4.0,1.0,32.0,12.0,21.0,3.0,6.0,5.0,7.0,away,2021-03-13,2020,4395625,RJBarrett,ny
10,MIL,L134-101,29.0,60.0,50.0,75.0,5.0,2.0,0.0,0.0,2.0,2.0,22.0,9.0,15.0,1.0,2.0,3.0,4.0,away,2021-03-11,2020,4395625,RJBarrett,ny
11,DET,W114-104,31.0,69.2,50.0,100.0,4.0,5.0,0.0,0.0,4.0,2.0,21.0,9.0,13.0,1.0,2.0,2.0,2.0,home,2021-03-04,2020,4395625,RJBarrett,ny
12,SA,L119-93,28.0,55.6,50.0,66.7,2.0,2.0,0.0,0.0,4.0,2.0,15.0,5.0,9.0,1.0,2.0,4.0,6.0,away,2021-03-02,2020,4395625,RJBarrett,ny
0,DET,W109-90,35.0,61.5,50.0,100.0,5.0,3.0,1.0,1.0,2.0,1.0,21.0,8.0,13.0,2.0,4.0,3.0,3.0,away,2021-02-28,2020,4395625,RJBarrett,ny
1,IND,W110-107,34.0,47.1,66.7,57.1,7.0,2.0,0.0,0.0,1.0,2.0,24.0,8.0,17.0,4.0,6.0,4.0,7.0,home,2021-02-27,2020,4395625,RJBarrett,ny
2,SAC,W140-121,25.0,62.5,66.7,0.0,3.0,3.0,0.0,0.0,3.0,1.0,12.0,5.0,8.0,2.0,3.0,0.0,0.0,home,2021-02-25,2020,4395625,RJBarrett,ny
3,GS,L114-106,27.0,11.1,33.3,50.0,10.0,1.0,0.0,0.0,6.0,3.0,4.0,1.0,9.0,1.0,3.0,1.0,2.0,home,2021-02-23,2020,4395625,RJBarrett,ny
4,MIN,W103-99,34.0,50.0,100.0,0.0,4.0,1.0,1.0,1.0,2.0,2.0,21.0,10.0,20.0,1.0,1.0,0.0,1.0,home,2021-02-21,2020,4395625,RJBarrett,ny
5,ORL,L107-89,27.0,45.5,33.3,80.0,7.0,1.0,1.0,1.0,2.0,3.0,15.0,5.0,11.0,1.0,3.0,4.0,5.0,away,2021-02-17,2020,4395625,RJBarrett,ny
6,ATL,W123-112,33.0,57.1,100.0,66.7,6.0,3.0,0.0,1.0,1.0,1.0,21.0,8.0,14.0,3.0,3.0,2.0,3.0,home,2021-02-15,2020,4395625,RJBarrett,ny
7,HOU,W121-99,22.0,25.0,0.0,75.0,4.0,5.0,0.0,0.0,3.0,2.0,7.0,2.0,8.0,0.0,1.0,3.0,4.0,home,2021-02-13,2020,4395625,RJBarrett,ny
8,WSH,W109-91,26.0,23.1,0.0,100.0,3.0,4.0,0.0,2.0,4.0,0.0,8.0,3.0,13.0,0.0,1.0,2.0,2.0,away,2021-02-12,2020,4395625,RJBarrett,ny
9,MIA,L98-96,27.0,35.7,25.0,50.0,6.0,2.0,0.0,0.0,3.0,2.0,13.0,5.0,14.0,1.0,4.0,2.0,4.0,away,2021-02-09,2020,4395625,RJBarrett,ny
10,MIA,L109-103,19.0,16.7,33.3,0.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,6.0,1.0,3.0,0.0,0.0,home,2021-02-07,2020,4395625,RJBarrett,ny
11,POR,W110-99,35.0,57.1,100.0,0.0,7.0,3.0,0.0,0.0,1.0,3.0,18.0,8.0,14.0,2.0,2.0,0.0,0.0,home,2021-02-06,2020,4395625,RJBarrett,ny
12,CHI,W107-103,32.0,53.3,0.0,33.3,7.0,2.0,0.0,0.0,2.0,4.0,17.0,8.0,15.0,0.0,1.0,1.0,3.0,away,2021-02-03,2020,4395625,RJBarrett,ny
13,CHI,L110-102,30.0,41.2,0.0,0.0,8.0,3.0,0.0,0.0,5.0,2.0,14.0,7.0,17.0,0.0,3.0,0.0,0.0,away,2021-02-01,2020,4395625,RJBarrett,ny
0,LAC,L129-115,31.0,64.3,0.0,83.3,2.0,2.0,0.0,2.0,3.0,2.0,23.0,9.0,14.0,0.0,1.0,5.0,6.0,home,2021-01-31,2020,4395625,RJBarrett,ny
1,CLE,W102-81,40.0,42.1,40.0,85.7,4.0,2.0,0.0,2.0,5.0,3.0,24.0,8.0,19.0,2.0,5.0,6.0,7.0,home,2021-01-29,2020,4395625,RJBarrett,ny
2,UTAH,L108-94,40.0,63.6,100.0,0.0,3.0,4.0,0.0,1.0,2.0,1.0,17.0,7.0,11.0,3.0,3.0,0.0,2.0,away,2021-01-26,2020,4395625,RJBarrett,ny
3,POR,L116-113,23.0,44.4,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,8.0,4.0,9.0,0.0,2.0,0.0,0.0,away,2021-01-24,2020,4395625,RJBarrett,ny
4,SAC,L103-94,36.0,47.1,100.0,100.0,7.0,3.0,0.0,0.0,4.0,3.0,21.0,8.0,17.0,2.0,2.0,3.0,3.0,away,2021-01-22,2020,4395625,RJBarrett,ny
5,GS,W119-104,37.0,58.8,66.7,75.0,2.0,5.0,0.0,0.0,4.0,2.0,28.0,10.0,17.0,2.0,3.0,6.0,8.0,away,2021-01-21,2020,4395625,RJBarrett,ny
6,ORL,W91-84,38.0,47.4,0.0,100.0,10.0,4.0,1.0,0.0,2.0,3.0,22.0,9.0,19.0,0.0,3.0,4.0,4.0,home,2021-01-18,2020,4395625,RJBarrett,ny
7,BOS,W105-75,29.0,45.5,50.0,87.5,11.0,3.0,0.0,2.0,3.0,4.0,19.0,5.0,11.0,2.0,4.0,7.0,8.0,away,2021-01-17,2020,4395625,RJBarrett,ny
8,CLE,L106-103,33.0,58.3,50.0,100.0,4.0,3.0,2.0,0.0,2.0,3.0,20.0,7.0,12.0,2.0,4.0,4.0,4.0,away,2021-01-15,2020,4395625,RJBarrett,ny
9,BKN,L116-109,38.0,46.7,25.0,83.3,5.0,3.0,0.0,0.0,2.0,0.0,20.0,7.0,15.0,1.0,4.0,5.0,6.0,home,2021-01-13,2020,4395625,RJBarrett,ny
10,CHA,L109-88,35.0,27.8,0.0,50.0,9.0,5.0,0.0,0.0,2.0,1.0,11.0,5.0,18.0,0.0,5.0,1.0,2.0,away,2021-01-11,2020,4395625,RJBarrett,ny
11,DEN,L114-89,33.0,30.8,0.0,33.3,9.0,4.0,0.0,0.0,1.0,3.0,9.0,4.0,13.0,0.0,3.0,1.0,3.0,home,2021-01-10,2020,4395625,RJBarrett,ny
12,OKC,L101-89,44.0,33.3,20.0,57.1,8.0,2.0,1.0,1.0,4.0,0.0,19.0,7.0,21.0,1.0,5.0,4.0,7.0,home,2021-01-08,2020,4395625,RJBarrett,ny
13,UTAH,W112-100,33.0,28.6,0.0,33.3,5.0,1.0,1.0,3.0,3.0,2.0,9.0,4.0,14.0,0.0,3.0,1.0,3.0,home,2021-01-06,2020,4395625,RJBarrett,ny
14,ATL,W113-108,44.0,52.6,20.0,71.4,11.0,5.0,0.0,2.0,2.0,0.0,26.0,10.0,19.0,1.0,5.0,5.0,7.0,away,2021-01-04,2020,4395625,RJBarrett,ny
15,IND,W106-102,42.0,53.3,80.0,83.3,5.0,3.0,0.0,0.0,1.0,1.0,25.0,8.0,15.0,4.0,5.0,5.0,6.0,away,2021-01-02,2020,4395625,RJBarrett,ny
0,TOR,L100-83,37.0,21.1,0.0,80.0,8.0,3.0,0.0,1.0,2.0,2.0,12.0,4.0,19.0,0.0,8.0,4.0,5.0,away,2020-12-31,2020,4395625,RJBarrett,ny
1,CLE,W95-86,39.0,26.7,0.0,100.0,7.0,2.0,0.0,2.0,2.0,2.0,12.0,4.0,15.0,0.0,3.0,4.0,4.0,away,2020-12-29,2020,4395625,RJBarrett,ny
2,MIL,W130-110,38.0,41.2,0.0,75.0,8.0,4.0,0.0,1.0,4.0,2.0,17.0,7.0,17.0,0.0,4.0,3.0,4.0,home,2020-12-27,2020,4395625,RJBarrett,ny
3,PHI,L109-89,37.0,13.3,0.0,75.0,6.0,4.0,0.0,0.0,0.0,4.0,10.0,2.0,15.0,0.0,6.0,6.0,8.0,home,2020-12-26,2020,4395625,RJBarrett,ny
4,IND,L121-107,34.0,73.3,100.0,50.0,8.0,5.0,0.0,0.0,3.0,1.0,26.0,11.0,15.0,3.0,3.0,1.0,2.0,away,2020-12-23,2020,4395625,RJBarrett,ny
0,CLE,W119-83,25.0,50.0,0.0,100.0,5.0,2.0,0.0,3.0,0.0,2.0,15.0,5.0,10.0,0.0,3.0,5.0,5.0,home,2020-12-18,2020,4395625,RJBarrett,ny
1,CLE,W100-93,33.0,50.0,25.0,100.0,6.0,2.0,0.0,0.0,0.0,2.0,16.0,6.0,12.0,1.0,4.0,3.0,3.0,home,2020-12-16,2020,4395625,RJBarrett,ny
2,DET,L99-91,36.0,58.8,20.0,80.0,4.0,2.0,0.0,1.0,2.0,4.0,25.0,10.0,17.0,1.0,5.0,4.0,5.0,away,2020-12-13,2020,4395625,RJBarrett,ny
3,DET,W90-84,29.0,43.8,0.0,50.0,5.0,2.0,0.0,0.0,2.0,2.0,15.0,7.0,16.0,0.0,4.0,1.0,2.0,away,2020-12-11,2020,4395625,RJBarrett,ny
0,ATL,W136-131 OT,39.0,64.3,40.0,100.0,5.0,4.0,1.0,2.0,1.0,2.0,26.0,9.0,14.0,2.0,5.0,6.0,6.0,away,2020-03-11,2019,4395625,RJBarrett,ny
