,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
0,UTAH,L109-93,29.0,7.7,0.0,0.0,4.0,2.0,0.0,1.0,1.0,3.0,2.0,1.0,13.0,0.0,4.0,0.0,0.0,home,2021-05-14,2020,4423545,DariusBazley,okc
1,SAC,L122-106,35.0,23.1,28.6,83.3,5.0,5.0,0.0,0.0,0.0,4.0,18.0,3.0,13.0,2.0,7.0,10.0,12.0,away,2021-05-11,2020,4423545,DariusBazley,okc
2,SAC,L126-98,30.0,46.2,66.7,80.0,6.0,2.0,0.0,0.0,0.0,3.0,18.0,6.0,13.0,2.0,3.0,4.0,5.0,away,2021-05-09,2020,4423545,DariusBazley,okc
3,GS,L136-97,28.0,33.3,0.0,60.0,5.0,3.0,0.0,1.0,1.0,1.0,11.0,4.0,12.0,0.0,3.0,3.0,5.0,away,2021-05-08,2020,4423545,DariusBazley,okc
4,GS,L118-97,29.0,36.8,30.8,80.0,3.0,2.0,0.0,1.0,0.0,1.0,22.0,7.0,19.0,4.0,13.0,4.0,5.0,away,2021-05-06,2020,4423545,DariusBazley,okc
5,SAC,L103-99,32.0,38.9,42.9,77.8,11.0,3.0,0.0,0.0,0.0,4.0,24.0,7.0,18.0,3.0,7.0,7.0,9.0,home,2021-05-04,2020,4423545,DariusBazley,okc
6,PHX,L123-120,35.0,61.5,100.0,20.0,9.0,3.0,0.0,0.0,3.0,3.0,19.0,8.0,13.0,2.0,2.0,1.0,5.0,home,2021-05-02,2020,4423545,DariusBazley,okc
7,IND,L152-95,25.0,23.5,25.0,50.0,4.0,2.0,0.0,0.0,0.0,1.0,10.0,4.0,17.0,1.0,4.0,1.0,2.0,home,2021-05-01,2020,4423545,DariusBazley,okc
0,NO,L109-95,32.0,40.0,0.0,60.0,6.0,3.0,0.0,0.0,2.0,5.0,15.0,6.0,15.0,0.0,6.0,3.0,5.0,home,2021-04-29,2020,4423545,DariusBazley,okc
1,BOS,W119-115,38.0,53.3,66.7,50.0,10.0,4.0,1.0,0.0,4.0,6.0,21.0,8.0,15.0,2.0,3.0,3.0,6.0,away,2021-04-27,2020,4423545,DariusBazley,okc
2,PHI,L121-90,31.0,54.5,0.0,66.7,7.0,2.0,0.0,0.0,3.0,4.0,14.0,6.0,11.0,0.0,2.0,2.0,3.0,away,2021-04-26,2020,4423545,DariusBazley,okc
3,WSH,L129-109,32.0,50.0,60.0,62.5,6.0,0.0,0.0,5.0,3.0,0.0,20.0,6.0,12.0,3.0,5.0,5.0,8.0,home,2021-04-23,2020,4423545,DariusBazley,okc
4,IND,L122-116,37.0,36.0,12.5,77.8,9.0,2.0,0.0,1.0,2.0,3.0,26.0,9.0,25.0,1.0,8.0,7.0,9.0,away,2021-04-21,2020,4423545,DariusBazley,okc
5,WSH,L119-107,38.0,36.8,16.7,84.6,7.0,3.0,0.0,0.0,3.0,1.0,26.0,7.0,19.0,1.0,6.0,11.0,13.0,away,2021-04-19,2020,4423545,DariusBazley,okc
6,TOR,L112-106,33.0,40.0,60.0,50.0,8.0,1.0,1.0,0.0,1.0,5.0,16.0,6.0,15.0,3.0,5.0,1.0,2.0,away,2021-04-18,2020,4423545,DariusBazley,okc
7,DET,L110-104,34.0,38.9,10.0,100.0,7.0,2.0,0.0,1.0,1.0,3.0,19.0,7.0,18.0,1.0,10.0,4.0,4.0,away,2021-04-16,2020,4423545,DariusBazley,okc
8,GS,L147-109,28.0,55.6,0.0,100.0,8.0,1.0,0.0,0.0,2.0,2.0,22.0,10.0,18.0,0.0,3.0,2.0,2.0,home,2021-04-14,2020,4423545,DariusBazley,okc
9,UTAH,L106-96,29.0,33.3,20.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,7.0,3.0,9.0,1.0,5.0,0.0,2.0,away,2021-04-13,2020,4423545,DariusBazley,okc
10,PHI,L117-93,36.0,58.3,75.0,0.0,9.0,5.0,0.0,1.0,2.0,9.0,17.0,7.0,12.0,3.0,4.0,0.0,0.0,home,2021-04-10,2020,4423545,DariusBazley,okc
0,SA,W107-102,30.0,30.0,20.0,57.1,10.0,0.0,1.0,1.0,0.0,3.0,11.0,3.0,10.0,1.0,5.0,4.0,7.0,away,2021-03-04,2020,4423545,DariusBazley,okc
1,DAL,L87-78,28.0,27.3,25.0,50.0,10.0,0.0,0.0,0.0,0.0,1.0,11.0,3.0,11.0,2.0,8.0,3.0,6.0,away,2021-03-03,2020,4423545,DariusBazley,okc
0,DEN,L126-96,32.0,50.0,37.5,75.0,4.0,0.0,1.0,0.0,0.0,0.0,22.0,8.0,16.0,3.0,8.0,3.0,4.0,home,2021-02-27,2020,4423545,DariusBazley,okc
1,ATL,W118-109,29.0,66.7,20.0,25.0,12.0,1.0,1.0,1.0,1.0,3.0,18.0,8.0,12.0,1.0,5.0,1.0,4.0,home,2021-02-26,2020,4423545,DariusBazley,okc
2,SA,W102-99,30.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,home,2021-02-24,2020,4423545,DariusBazley,okc
3,MIA,L108-94,32.0,55.6,42.9,0.0,5.0,1.0,0.0,1.0,1.0,4.0,13.0,5.0,9.0,3.0,7.0,0.0,0.0,home,2021-02-22,2020,4423545,DariusBazley,okc
4,CLE,W117-101,30.0,28.6,0.0,0.0,7.0,1.0,0.0,1.0,1.0,0.0,4.0,2.0,7.0,0.0,1.0,0.0,0.0,away,2021-02-21,2020,4423545,DariusBazley,okc
5,MIL,L98-85,21.0,28.6,100.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,6.0,2.0,7.0,2.0,2.0,0.0,0.0,away,2021-02-19,2020,4423545,DariusBazley,okc
6,MEM,L122-113,32.0,50.0,50.0,0.0,7.0,2.0,0.0,0.0,0.0,2.0,18.0,7.0,14.0,4.0,8.0,0.0,0.0,away,2021-02-17,2020,4423545,DariusBazley,okc
7,POR,L115-104,36.0,25.0,14.3,83.3,6.0,6.0,1.0,1.0,0.0,0.0,14.0,4.0,16.0,1.0,7.0,5.0,6.0,home,2021-02-16,2020,4423545,DariusBazley,okc
8,MIL,W114-109,32.0,61.5,28.6,0.0,5.0,3.0,0.0,2.0,1.0,0.0,18.0,8.0,13.0,2.0,7.0,0.0,0.0,home,2021-02-14,2020,4423545,DariusBazley,okc
9,DEN,L97-95,29.0,22.2,33.3,100.0,7.0,2.0,1.0,0.0,0.0,2.0,7.0,2.0,9.0,1.0,3.0,2.0,2.0,away,2021-02-12,2020,4423545,DariusBazley,okc
10,LAL,L114-113 OT,43.0,26.7,25.0,0.0,7.0,2.0,1.0,0.0,1.0,2.0,9.0,4.0,15.0,1.0,4.0,0.0,0.0,away,2021-02-10,2020,4423545,DariusBazley,okc
11,LAL,L119-112 OT,42.0,33.3,25.0,100.0,16.0,3.0,0.0,1.0,2.0,4.0,21.0,7.0,21.0,2.0,8.0,5.0,5.0,away,2021-02-08,2020,4423545,DariusBazley,okc
12,MIN,W120-118,26.0,50.0,33.3,50.0,4.0,1.0,0.0,1.0,1.0,2.0,13.0,5.0,10.0,1.0,3.0,2.0,4.0,home,2021-02-06,2020,4423545,DariusBazley,okc
13,MIN,L106-103,35.0,28.6,16.7,75.0,10.0,1.0,0.0,0.0,0.0,1.0,12.0,4.0,14.0,1.0,6.0,3.0,4.0,home,2021-02-05,2020,4423545,DariusBazley,okc
