,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
0,PHI,L128-117,38.0,40.0,33.3,100.0,8.0,2.0,0.0,1.0,3.0,6.0,37.0,10.0,25.0,3.0,9.0,14.0,14.0,away,2021-05-16,2020,4432809,ColeAnthony,orl
1,PHI,L122-97,21.0,44.4,100.0,33.3,5.0,3.0,0.0,1.0,3.0,5.0,11.0,4.0,9.0,2.0,2.0,1.0,3.0,away,2021-05-14,2020,4432809,ColeAnthony,orl
2,ATL,L116-93,23.0,41.7,33.3,50.0,7.0,6.0,0.0,1.0,1.0,1.0,12.0,5.0,12.0,1.0,3.0,1.0,2.0,away,2021-05-13,2020,4432809,ColeAnthony,orl
3,MIL,L114-102,30.0,50.0,33.3,0.0,4.0,0.0,0.0,0.0,0.0,4.0,18.0,8.0,16.0,2.0,6.0,0.0,0.0,away,2021-05-11,2020,4432809,ColeAnthony,orl
4,MIN,L128-96,24.0,30.8,20.0,100.0,4.0,3.0,0.0,0.0,0.0,3.0,11.0,4.0,13.0,1.0,5.0,2.0,2.0,home,2021-05-09,2020,4432809,ColeAnthony,orl
5,CHA,L122-112,29.0,42.9,40.0,100.0,5.0,1.0,1.0,1.0,5.0,2.0,20.0,6.0,14.0,2.0,5.0,6.0,6.0,away,2021-05-07,2020,4432809,ColeAnthony,orl
6,BOS,L132-96,22.0,20.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,3.0,4.0,2.0,10.0,0.0,2.0,0.0,0.0,home,2021-05-05,2020,4432809,ColeAnthony,orl
7,DET,W119-112,21.0,42.9,100.0,50.0,4.0,4.0,0.0,0.0,2.0,3.0,8.0,3.0,7.0,1.0,1.0,1.0,2.0,away,2021-05-03,2020,4432809,ColeAnthony,orl
8,MEM,W112-111,36.0,40.0,66.7,90.9,8.0,6.0,0.0,3.0,2.0,5.0,26.0,6.0,15.0,4.0,6.0,10.0,11.0,home,2021-05-01,2020,4432809,ColeAnthony,orl
0,MEM,L92-75,29.0,50.0,33.3,0.0,6.0,2.0,0.0,0.0,4.0,3.0,15.0,7.0,14.0,1.0,3.0,0.0,0.0,away,2021-04-30,2020,4432809,ColeAnthony,orl
1,CLE,W109-104,31.0,50.0,25.0,100.0,4.0,3.0,0.0,0.0,3.0,5.0,18.0,6.0,12.0,1.0,4.0,5.0,5.0,away,2021-04-28,2020,4432809,ColeAnthony,orl
2,LAL,L114-103,33.0,54.5,75.0,0.0,4.0,7.0,1.0,0.0,2.0,0.0,15.0,6.0,11.0,3.0,4.0,0.0,2.0,home,2021-04-26,2020,4432809,ColeAnthony,orl
3,IND,L131-112,29.0,35.7,33.3,75.0,7.0,7.0,1.0,0.0,2.0,1.0,14.0,5.0,14.0,1.0,3.0,3.0,4.0,home,2021-04-25,2020,4432809,ColeAnthony,orl
4,NO,L135-100,25.0,46.2,50.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,14.0,6.0,13.0,2.0,4.0,0.0,2.0,home,2021-04-22,2020,4432809,ColeAnthony,orl
5,ATL,L112-96,31.0,40.0,16.7,80.0,5.0,8.0,0.0,2.0,1.0,2.0,17.0,6.0,15.0,1.0,6.0,4.0,5.0,away,2021-04-20,2020,4432809,ColeAnthony,orl
