,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
0,MIL,L105-98,36,33.3,0.0,80.0,6,1,2,2,5,2,12,4,12,0,0,4,5,away,2021-07-20,2020,4278129,DeandreAyton,phx
2,MIL,L123-119,45,58.3,0.0,100.0,10,1,2,1,4,2,20,7,12,0,0,6,6,home,2021-07-17,2020,4278129,DeandreAyton,phx
4,MIL,L109-103,39,33.3,0.0,0.0,17,5,3,0,2,2,6,3,9,0,0,0,0,away,2021-07-14,2020,4278129,DeandreAyton,phx
6,MIL,L120-100,24,72.7,0.0,100.0,9,0,0,2,5,2,18,8,11,0,0,2,2,away,2021-07-11,2020,4278129,DeandreAyton,phx
8,MIL,W118-108,42,40.0,0.0,66.7,11,4,2,3,4,0,10,4,10,0,0,2,3,home,2021-07-08,2020,4278129,DeandreAyton,phx
10,MIL,W118-105,39,80.0,0.0,100.0,19,0,0,1,3,0,22,8,10,0,0,6,6,home,2021-07-06,2020,4278129,DeandreAyton,phx
0,LAC,W130-103,40,80.0,0.0,0.0,17,1,2,0,3,2,16,8,10,0,0,0,2,away,2021-06-30,2020,4278129,DeandreAyton,phx
2,LAC,L116-102,37,55.6,0.0,0.0,11,1,1,1,1,2,10,5,9,0,0,0,0,home,2021-06-28,2020,4278129,DeandreAyton,phx
4,LAC,W84-80,41,57.1,0.0,100.0,22,3,4,1,4,3,19,8,14,0,0,3,3,away,2021-06-26,2020,4278129,DeandreAyton,phx
6,LAC,L106-92,36,69.2,0.0,0.0,9,0,2,1,2,0,18,9,13,0,0,0,1,away,2021-06-24,2020,4278129,DeandreAyton,phx
8,LAC,W104-103,35,80.0,0.0,0.0,14,1,1,1,3,1,24,12,15,0,0,0,1,home,2021-06-22,2020,4278129,DeandreAyton,phx
10,LAC,W120-114,37,71.4,0.0,0.0,9,2,0,0,1,1,20,10,14,0,0,0,0,home,2021-06-20,2020,4278129,DeandreAyton,phx
0,DEN,W125-118,34,60.0,0.0,0.0,7,0,1,1,4,1,12,6,10,0,0,0,0,away,2021-06-13,2020,4278129,DeandreAyton,phx
2,DEN,W116-102,37,50.0,0.0,100.0,15,2,0,0,1,0,10,4,8,0,0,2,2,away,2021-06-11,2020,4278129,DeandreAyton,phx
4,DEN,W123-98,26,60.0,0.0,75.0,10,0,0,0,2,3,15,6,10,0,0,3,4,home,2021-06-09,2020,4278129,DeandreAyton,phx
6,DEN,W122-105,36,69.2,0.0,100.0,10,0,0,1,1,1,20,9,13,0,0,2,2,home,2021-06-07,2020,4278129,DeandreAyton,phx
0,LAL,W113-100,32,75.0,0.0,100.0,3,1,0,0,1,0,8,3,4,0,0,2,2,away,2021-06-03,2020,4278129,DeandreAyton,phx
2,LAL,W115-85,27,66.7,0.0,66.7,7,2,0,0,2,0,8,2,3,0,0,4,6,home,2021-06-01,2020,4278129,DeandreAyton,phx
4,LAL,W100-92,38,75.0,0.0,40.0,17,0,1,2,4,0,14,6,8,0,0,2,5,away,2021-05-30,2020,4278129,DeandreAyton,phx
