,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
0,DEN,L126-115,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,home,2021-06-03,2020,3152335,KeljinBlevins,por
2,DEN,W115-95,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,home,2021-05-29,2020,3152335,KeljinBlevins,por
0,UTAH,W105-98,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,away,2021-05-12,2020,3152335,KeljinBlevins,por
1,HOU,W140-129,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,home,2021-05-10,2020,3152335,KeljinBlevins,por
2,SA,W124-102,4.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,home,2021-05-08,2020,3152335,KeljinBlevins,por
3,CLE,W141-105,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,away,2021-05-05,2020,3152335,KeljinBlevins,por
0,BKN,W128-109,3.0,100.0,100.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,away,2021-04-30,2020,3152335,KeljinBlevins,por
1,MEM,W130-109,2.0,100.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,away,2021-04-28,2020,3152335,KeljinBlevins,por
2,IND,W133-112,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,away,2021-04-27,2020,3152335,KeljinBlevins,por
3,MIL,L127-109,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,home,2021-04-02,2020,3152335,KeljinBlevins,por
0,PHX,L132-100,9.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,away,2021-02-22,2020,3152335,KeljinBlevins,por
1,PHI,W121-105,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,away,2021-02-04,2020,3152335,KeljinBlevins,por
2,WSH,W132-121,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,away,2021-02-02,2020,3152335,KeljinBlevins,por
