,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
0,PHX,L123-121,12.0,66.7,0.0,100.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,6.0,0.0,0.0,1.0,1.0,home,2021-05-16,2020,3136779,KeitaBates-Diop,sa
1,PHX,L140-103,29.0,44.4,0.0,0.0,7.0,2.0,0.0,0.0,0.0,1.0,8.0,4.0,9.0,0.0,0.0,0.0,0.0,home,2021-05-15,2020,3136779,KeitaBates-Diop,sa
2,BKN,L128-116,9.0,60.0,0.0,100.0,2.0,1.0,0.0,0.0,1.0,0.0,7.0,3.0,5.0,0.0,1.0,1.0,1.0,away,2021-05-12,2020,3136779,KeitaBates-Diop,sa
3,MIL,W146-125,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,home,2021-05-10,2020,3136779,KeitaBates-Diop,sa
4,POR,L124-102,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,away,2021-05-08,2020,3136779,KeitaBates-Diop,sa
5,UTAH,L126-94,16.0,50.0,0.0,50.0,1.0,0.0,1.0,2.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0,away,2021-05-05,2020,3136779,KeitaBates-Diop,sa
6,UTAH,L110-99,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,away,2021-05-03,2020,3136779,KeitaBates-Diop,sa
7,PHI,L113-111 OT,15.0,100.0,0.0,0.0,6.0,1.0,1.0,0.0,3.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,home,2021-05-02,2020,3136779,KeitaBates-Diop,sa
0,NO,W110-108,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,away,2021-04-24,2020,3136779,KeitaBates-Diop,sa
1,DET,W106-91,16.0,50.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,1.0,home,2021-04-22,2020,3136779,KeitaBates-Diop,sa
2,MIA,L107-87,4.0,100.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,2.0,home,2021-04-21,2020,3136779,KeitaBates-Diop,sa
3,IND,W109-94,2.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,away,2021-04-19,2020,3136779,KeitaBates-Diop,sa
4,PHX,W111-85,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,away,2021-04-17,2020,3136779,KeitaBates-Diop,sa
5,ORL,W120-97,5.0,66.7,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,away,2021-04-12,2020,3136779,KeitaBates-Diop,sa
0,PHI,L134-99,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,away,2021-03-14,2020,3136779,KeitaBates-Diop,sa
1,ORL,W104-77,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,home,2021-03-12,2020,3136779,KeitaBates-Diop,sa
2,DAL,L115-104,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,away,2021-03-10,2020,3136779,KeitaBates-Diop,sa
3,OKC,L107-102,16.0,50.0,50.0,0.0,5.0,2.0,1.0,0.0,0.0,1.0,7.0,3.0,6.0,1.0,2.0,0.0,0.0,home,2021-03-04,2020,3136779,KeitaBates-Diop,sa
4,NY,W119-93,16.0,50.0,50.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,8.0,3.0,6.0,2.0,4.0,0.0,0.0,home,2021-03-02,2020,3136779,KeitaBates-Diop,sa
5,BKN,L124-113 OT,20.0,40.0,50.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,5.0,1.0,2.0,0.0,0.0,home,2021-03-01,2020,3136779,KeitaBates-Diop,sa
0,NO,W117-114,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,home,2021-02-27,2020,3136779,KeitaBates-Diop,sa
1,OKC,L102-99,20.0,60.0,50.0,100.0,4.0,2.0,0.0,4.0,1.0,0.0,9.0,3.0,5.0,1.0,2.0,2.0,2.0,away,2021-02-24,2020,3136779,KeitaBates-Diop,sa
2,ATL,W125-114,8.0,0.0,0.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,3.0,4.0,away,2021-02-12,2020,3136779,KeitaBates-Diop,sa
