,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
0,OKC,W126-98,21.0,71.4,0.0,75.0,9.0,2.0,1.0,0.0,0.0,2.0,13.0,5.0,7.0,0.0,1.0,3.0,4.0,home,2021-05-09,2020,4277848,MarvinBagley III,sac
1,SA,L113-104,19.0,20.0,0.0,33.3,2.0,1.0,0.0,0.0,2.0,0.0,4.0,1.0,5.0,0.0,1.0,2.0,6.0,home,2021-05-07,2020,4277848,MarvinBagley III,sac
2,IND,W104-93,35.0,59.1,0.0,62.5,12.0,0.0,0.0,0.0,1.0,1.0,31.0,13.0,22.0,0.0,1.0,5.0,8.0,away,2021-05-05,2020,4277848,MarvinBagley III,sac
3,OKC,W103-99,31.0,33.3,20.0,100.0,7.0,1.0,1.0,0.0,5.0,2.0,13.0,5.0,15.0,1.0,5.0,2.0,2.0,away,2021-05-04,2020,4277848,MarvinBagley III,sac
4,DAL,W111-99,34.0,62.5,33.3,66.7,9.0,3.0,0.0,1.0,0.0,2.0,23.0,10.0,16.0,1.0,3.0,2.0,3.0,away,2021-05-02,2020,4277848,MarvinBagley III,sac
0,LAL,W110-106,21.0,44.4,100.0,100.0,4.0,1.0,0.0,2.0,2.0,3.0,11.0,4.0,9.0,1.0,1.0,2.0,2.0,away,2021-04-30,2020,4277848,MarvinBagley III,sac
0,CHA,L122-116,16.0,66.7,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,12.0,6.0,9.0,0.0,2.0,0.0,0.0,away,2021-03-15,2020,4277848,MarvinBagley III,sac
1,ATL,L121-106,24.0,60.0,0.0,0.0,7.0,1.0,0.0,0.0,4.0,2.0,12.0,6.0,10.0,0.0,1.0,0.0,0.0,away,2021-03-13,2020,4277848,MarvinBagley III,sac
2,HOU,W125-105,23.0,28.6,0.0,100.0,7.0,1.0,2.0,0.0,3.0,0.0,11.0,2.0,7.0,0.0,1.0,7.0,7.0,home,2021-03-11,2020,4277848,MarvinBagley III,sac
3,POR,L123-119,32.0,46.2,33.3,33.3,9.0,3.0,0.0,0.0,2.0,0.0,14.0,6.0,13.0,1.0,3.0,1.0,3.0,away,2021-03-04,2020,4277848,MarvinBagley III,sac
4,LAL,W123-120,29.0,70.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,14.0,7.0,10.0,0.0,1.0,0.0,1.0,home,2021-03-03,2020,4277848,MarvinBagley III,sac
0,CHA,L127-126,35.0,55.0,40.0,0.0,10.0,1.0,1.0,2.0,2.0,1.0,24.0,11.0,20.0,2.0,5.0,0.0,2.0,home,2021-02-28,2020,4277848,MarvinBagley III,sac
1,DET,W110-107,28.0,69.2,0.0,50.0,8.0,1.0,0.0,1.0,3.0,1.0,19.0,9.0,13.0,0.0,1.0,1.0,2.0,away,2021-02-26,2020,4277848,MarvinBagley III,sac
2,NY,L140-121,23.0,58.3,50.0,66.7,5.0,0.0,0.0,1.0,4.0,2.0,19.0,7.0,12.0,1.0,2.0,4.0,6.0,away,2021-02-25,2020,4277848,MarvinBagley III,sac
3,BKN,L127-118,30.0,50.0,0.0,50.0,10.0,0.0,2.0,0.0,2.0,3.0,12.0,5.0,10.0,0.0,3.0,2.0,4.0,away,2021-02-23,2020,4277848,MarvinBagley III,sac
4,MIL,L128-115,29.0,41.7,33.3,100.0,6.0,2.0,1.0,0.0,3.0,2.0,12.0,5.0,12.0,1.0,3.0,1.0,1.0,away,2021-02-21,2020,4277848,MarvinBagley III,sac
5,CHI,L122-114,35.0,52.6,50.0,100.0,11.0,2.0,0.0,2.0,1.0,0.0,26.0,10.0,19.0,1.0,2.0,5.0,5.0,away,2021-02-20,2020,4277848,MarvinBagley III,sac
6,MIA,L118-110,24.0,58.3,100.0,50.0,10.0,2.0,0.0,0.0,1.0,1.0,19.0,7.0,12.0,2.0,2.0,3.0,6.0,home,2021-02-18,2020,4277848,MarvinBagley III,sac
7,BKN,L136-125,21.0,53.8,33.3,80.0,7.0,0.0,1.0,0.0,1.0,0.0,19.0,7.0,13.0,1.0,3.0,4.0,5.0,home,2021-02-15,2020,4277848,MarvinBagley III,sac
8,PHI,L119-111,29.0,54.5,40.0,60.0,6.0,1.0,0.0,1.0,3.0,1.0,17.0,6.0,11.0,2.0,5.0,3.0,5.0,home,2021-02-09,2020,4277848,MarvinBagley III,sac
