,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
0,MIL,L120-103,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,home,2021-05-29,2020,4431679,PreciousAchiuwa,tor
2,MIL,L113-84,4.0,100.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,home,2021-05-27,2020,4431679,PreciousAchiuwa,tor
4,MIL,L132-98,7.0,50.0,0.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,4.0,away,2021-05-24,2020,4431679,PreciousAchiuwa,tor
0,DET,W120-107,42.0,62.5,0.0,42.9,10.0,0.0,1.0,2.0,3.0,2.0,23.0,10.0,16.0,0.0,0.0,3.0,7.0,away,2021-05-16,2020,4431679,PreciousAchiuwa,tor
1,MIL,L122-108,2.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,away,2021-05-15,2020,4431679,PreciousAchiuwa,tor
2,PHI,W106-94,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,home,2021-05-13,2020,4431679,PreciousAchiuwa,tor
3,DAL,L127-113,6.0,50.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,home,2021-05-04,2020,4431679,PreciousAchiuwa,tor
4,CHA,W121-111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,away,2021-05-02,2020,4431679,PreciousAchiuwa,tor
5,CLE,W124-107,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,away,2021-05-01,2020,4431679,PreciousAchiuwa,tor
0,SA,W107-87,2.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,away,2021-04-21,2020,4431679,PreciousAchiuwa,tor
1,HOU,W113-91,29.0,36.4,0.0,0.0,11.0,0.0,0.0,1.0,5.0,3.0,8.0,4.0,11.0,0.0,0.0,0.0,0.0,home,2021-04-19,2020,4431679,PreciousAchiuwa,tor
2,MIN,L119-111,15.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,away,2021-04-16,2020,4431679,PreciousAchiuwa,tor
3,DEN,L123-106,11.0,66.7,0.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,0.0,0.0,2.0,2.0,away,2021-04-14,2020,4431679,PreciousAchiuwa,tor
4,PHX,L106-86,9.0,50.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,away,2021-04-13,2020,4431679,PreciousAchiuwa,tor
5,POR,W107-98,13.0,33.3,0.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,away,2021-04-11,2020,4431679,PreciousAchiuwa,tor
6,LAL,W110-104,9.0,28.6,0.0,60.0,5.0,0.0,1.0,1.0,4.0,0.0,7.0,2.0,7.0,0.0,0.0,3.0,5.0,home,2021-04-08,2020,4431679,PreciousAchiuwa,tor
7,MEM,L124-112,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,home,2021-04-06,2020,4431679,PreciousAchiuwa,tor
8,CLE,W115-101,9.0,100.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,home,2021-04-03,2020,4431679,PreciousAchiuwa,tor
0,IND,W92-87,8.0,50.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,away,2021-03-31,2020,4431679,PreciousAchiuwa,tor
1,NY,W98-88,11.0,33.3,0.0,0.0,3.0,1.0,1.0,0.0,5.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,away,2021-03-29,2020,4431679,PreciousAchiuwa,tor
2,CHA,L110-105,11.0,50.0,0.0,0.0,5.0,2.0,1.0,0.0,1.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,3.0,away,2021-03-26,2020,4431679,PreciousAchiuwa,tor
3,POR,L125-122,14.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,home,2021-03-25,2020,4431679,PreciousAchiuwa,tor
4,PHX,L110-100,13.0,75.0,0.0,75.0,3.0,1.0,0.0,0.0,0.0,0.0,9.0,3.0,4.0,0.0,0.0,3.0,4.0,home,2021-03-23,2020,4431679,PreciousAchiuwa,tor
5,IND,L109-106 OT,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,home,2021-03-21,2020,4431679,PreciousAchiuwa,tor
6,IND,L137-110,4.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,home,2021-03-19,2020,4431679,PreciousAchiuwa,tor
7,MEM,L89-85,10.0,20.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,2.0,away,2021-03-17,2020,4431679,PreciousAchiuwa,tor
8,ORL,W102-97,12.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,away,2021-03-14,2020,4431679,PreciousAchiuwa,tor
9,CHI,W101-90,3.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,away,2021-03-12,2020,4431679,PreciousAchiuwa,tor
10,ORL,W111-103,5.0,100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,home,2021-03-11,2020,4431679,PreciousAchiuwa,tor
11,NO,W103-93,16.0,50.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,8.0,4.0,8.0,0.0,0.0,0.0,0.0,away,2021-03-04,2020,4431679,PreciousAchiuwa,tor
12,ATL,L94-80,15.0,100.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,home,2021-03-02,2020,4431679,PreciousAchiuwa,tor
0,ATL,W109-99,12.0,80.0,0.0,85.7,7.0,1.0,1.0,1.0,0.0,1.0,14.0,4.0,5.0,0.0,0.0,6.0,7.0,home,2021-02-28,2020,4431679,PreciousAchiuwa,tor
1,TOR,W116-108,6.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,home,2021-02-24,2020,4431679,PreciousAchiuwa,tor
2,OKC,W108-94,9.0,100.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,away,2021-02-22,2020,4431679,PreciousAchiuwa,tor
3,LAL,W96-94,12.0,50.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,2.0,away,2021-02-20,2020,4431679,PreciousAchiuwa,tor
4,SAC,W118-110,12.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,away,2021-02-18,2020,4431679,PreciousAchiuwa,tor
5,GS,L120-112 OT,17.0,85.7,0.0,100.0,6.0,0.0,0.0,0.0,1.0,0.0,13.0,6.0,7.0,0.0,0.0,1.0,1.0,away,2021-02-17,2020,4431679,PreciousAchiuwa,tor
6,LAC,L125-118,12.0,50.0,0.0,100.0,1.0,0.0,0.0,2.0,3.0,0.0,8.0,3.0,6.0,0.0,0.0,2.0,2.0,away,2021-02-15,2020,4431679,PreciousAchiuwa,tor
7,UTAH,L112-94,5.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,away,2021-02-13,2020,4431679,PreciousAchiuwa,tor
8,HOU,W101-94,5.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,away,2021-02-11,2020,4431679,PreciousAchiuwa,tor
9,NY,W98-96,9.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,home,2021-02-09,2020,4431679,PreciousAchiuwa,tor
10,NY,W109-103,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,away,2021-02-07,2020,4431679,PreciousAchiuwa,tor
11,WSH,W122-95,20.0,25.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,4.0,2.0,8.0,0.0,0.0,0.0,0.0,home,2021-02-05,2020,4431679,PreciousAchiuwa,tor
12,WSH,L103-100,13.0,50.0,0.0,50.0,4.0,0.0,0.0,2.0,0.0,0.0,7.0,2.0,4.0,0.0,0.0,3.0,6.0,home,2021-02-03,2020,4431679,PreciousAchiuwa,tor
13,CHA,L129-121 OT,14.0,33.3,0.0,50.0,3.0,0.0,2.0,0.0,1.0,0.0,4.0,1.0,3.0,0.0,0.0,2.0,4.0,home,2021-02-01,2020,4431679,PreciousAchiuwa,tor
