,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
0,LAC,L118-104,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,away,2021-06-14,2020,4066299,UdokaAzubuike,utah
0,SAC,W121-99,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,away,2021-05-16,2020,4066299,UdokaAzubuike,utah
1,OKC,W109-93,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,away,2021-05-14,2020,4066299,UdokaAzubuike,utah
2,POR,L105-98,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,home,2021-05-12,2020,4066299,UdokaAzubuike,utah
0,DAL,W120-101,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,home,2021-01-29,2020,4066299,UdokaAzubuike,utah
1,DAL,W116-104,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,home,2021-01-27,2020,4066299,UdokaAzubuike,utah
2,NY,W108-94,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,home,2021-01-26,2020,4066299,UdokaAzubuike,utah
3,GS,W127-108,10.0,50.0,0.0,100.0,4.0,0.0,1.0,0.0,3.0,1.0,4.0,1.0,2.0,0.0,0.0,2.0,2.0,home,2021-01-23,2020,4066299,UdokaAzubuike,utah
4,NO,W129-118,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,home,2021-01-21,2020,4066299,UdokaAzubuike,utah
5,NO,W118-102,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,home,2021-01-19,2020,4066299,UdokaAzubuike,utah
6,ATL,W116-92,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,home,2021-01-15,2020,4066299,UdokaAzubuike,utah
7,CLE,W117-87,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,away,2021-01-12,2020,4066299,UdokaAzubuike,utah
8,MIL,W131-118,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,away,2021-01-08,2020,4066299,UdokaAzubuike,utah
9,BKN,L130-96,8.0,0.0,0.0,50.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,away,2021-01-05,2020,4066299,UdokaAzubuike,utah
10,SA,W130-109,6.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,away,2021-01-03,2020,4066299,UdokaAzubuike,utah
0,POR,W120-100,4.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,away,2020-12-23,2020,4066299,UdokaAzubuike,utah
0,PHX,W111-92,6.0,100.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,home,2020-12-14,2020,4066299,UdokaAzubuike,utah
1,PHX,W119-105,13.0,75.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,2.0,6.0,3.0,4.0,0.0,0.0,0.0,3.0,home,2020-12-12,2020,4066299,UdokaAzubuike,utah
0,LAC,L131-119,35.0,41.7,50.0,0.0,4.0,0.0,0.0,0.0,3.0,2.0,14.0,5.0,12.0,4.0,8.0,0.0,0.0,away,2021-06-18,2020,3593,BojanBogdanovic,utah
2,LAC,L119-111,39.0,50.0,52.9,75.0,3.0,0.0,0.0,0.0,4.0,3.0,32.0,10.0,20.0,9.0,17.0,3.0,4.0,home,2021-06-16,2020,3593,BojanBogdanovic,utah
4,LAC,L118-104,39.0,50.0,40.0,80.0,3.0,5.0,0.0,2.0,5.0,1.0,18.0,6.0,12.0,2.0,5.0,4.0,5.0,away,2021-06-14,2020,3593,BojanBogdanovic,utah
6,LAC,L132-106,36.0,20.0,20.0,100.0,4.0,1.0,0.0,0.0,3.0,2.0,9.0,2.0,10.0,1.0,5.0,4.0,4.0,away,2021-06-12,2020,3593,BojanBogdanovic,utah
8,LAC,W117-111,39.0,62.5,60.0,75.0,4.0,1.0,0.0,1.0,3.0,2.0,16.0,5.0,8.0,3.0,5.0,3.0,4.0,home,2021-06-10,2020,3593,BojanBogdanovic,utah
10,LAC,W112-109,38.0,42.9,50.0,100.0,5.0,1.0,0.0,1.0,2.0,0.0,18.0,6.0,14.0,3.0,6.0,3.0,3.0,home,2021-06-08,2020,3593,BojanBogdanovic,utah
0,MEM,W126-110,31.0,42.9,50.0,100.0,8.0,4.0,0.0,2.0,0.0,3.0,17.0,6.0,14.0,3.0,6.0,2.0,2.0,home,2021-06-02,2020,3593,BojanBogdanovic,utah
2,MEM,W120-113,33.0,50.0,60.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,13.0,5.0,10.0,3.0,5.0,0.0,0.0,away,2021-05-31,2020,3593,BojanBogdanovic,utah
4,MEM,W121-111,37.0,50.0,66.7,83.3,6.0,1.0,0.0,1.0,0.0,2.0,15.0,4.0,8.0,2.0,3.0,5.0,6.0,away,2021-05-29,2020,3593,BojanBogdanovic,utah
6,MEM,W141-129,30.0,53.8,20.0,75.0,3.0,1.0,0.0,1.0,3.0,3.0,18.0,7.0,13.0,1.0,5.0,3.0,4.0,home,2021-05-26,2020,3593,BojanBogdanovic,utah
8,MEM,L112-109,33.0,50.0,36.4,100.0,5.0,0.0,0.0,2.0,1.0,4.0,29.0,8.0,16.0,4.0,11.0,9.0,9.0,home,2021-05-23,2020,3593,BojanBogdanovic,utah
0,SAC,W121-99,30.0,33.3,40.0,100.0,6.0,4.0,0.0,0.0,1.0,4.0,18.0,5.0,15.0,2.0,5.0,6.0,6.0,away,2021-05-16,2020,3593,BojanBogdanovic,utah
1,OKC,W109-93,27.0,50.0,40.0,100.0,2.0,3.0,0.0,1.0,0.0,1.0,22.0,8.0,16.0,2.0,5.0,4.0,4.0,away,2021-05-14,2020,3593,BojanBogdanovic,utah
2,POR,L105-98,34.0,35.7,0.0,50.0,4.0,0.0,0.0,0.0,2.0,4.0,12.0,5.0,14.0,0.0,5.0,2.0,4.0,home,2021-05-12,2020,3593,BojanBogdanovic,utah
3,GS,L119-116,34.0,42.9,44.4,100.0,6.0,2.0,0.0,2.0,3.0,2.0,27.0,9.0,21.0,4.0,9.0,5.0,5.0,away,2021-05-10,2020,3593,BojanBogdanovic,utah
4,HOU,W124-116,35.0,43.8,25.0,83.3,5.0,2.0,0.0,0.0,2.0,2.0,20.0,7.0,16.0,1.0,4.0,5.0,6.0,home,2021-05-08,2020,3593,BojanBogdanovic,utah
5,DEN,W127-120,39.0,69.6,72.7,100.0,8.0,2.0,0.0,2.0,4.0,5.0,48.0,16.0,23.0,8.0,11.0,8.0,8.0,home,2021-05-07,2020,3593,BojanBogdanovic,utah
6,SA,W126-94,26.0,76.9,75.0,100.0,2.0,0.0,0.0,2.0,2.0,5.0,24.0,10.0,13.0,3.0,4.0,1.0,1.0,home,2021-05-05,2020,3593,BojanBogdanovic,utah
7,SA,W110-99,33.0,58.8,28.6,75.0,3.0,2.0,0.0,0.0,0.0,3.0,25.0,10.0,17.0,2.0,7.0,3.0,4.0,home,2021-05-03,2020,3593,BojanBogdanovic,utah
8,TOR,W106-102,39.0,54.5,54.5,100.0,4.0,4.0,0.0,0.0,1.0,3.0,34.0,12.0,22.0,6.0,11.0,4.0,4.0,home,2021-05-01,2020,3593,BojanBogdanovic,utah
0,PHX,L121-100,28.0,54.5,33.3,88.9,4.0,0.0,0.0,1.0,2.0,3.0,22.0,6.0,11.0,2.0,6.0,8.0,9.0,away,2021-04-30,2020,3593,BojanBogdanovic,utah
1,SAC,W154-105,29.0,43.8,20.0,90.0,3.0,4.0,1.0,1.0,1.0,1.0,24.0,7.0,16.0,1.0,5.0,9.0,10.0,away,2021-04-28,2020,3593,BojanBogdanovic,utah
2,MIN,L105-104,29.0,9.1,14.3,100.0,1.0,0.0,0.0,2.0,1.0,2.0,7.0,1.0,11.0,1.0,7.0,4.0,4.0,away,2021-04-26,2020,3593,BojanBogdanovic,utah
