,OPP,Result,MIN,FG%,3P%,FT%,REB,AST,BLK,STL,PF,TO,PTS,FGM,FGA,3PM,3PA,FTM,FTA,type,Date,season_id,player_id,player_name,team
0,GS,W118-114,14.0,40.0,0.0,100.0,3.0,0.0,0.0,1.0,0.0,1.0,6.0,2.0,5.0,0.0,0.0,2.0,2.0,home,2021-04-21,2020,4683021,DeniAvdija,wsh
1,OKC,W119-107,26.0,27.3,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,6.0,3.0,11.0,0.0,6.0,0.0,1.0,home,2021-04-19,2020,4683021,DeniAvdija,wsh
2,DET,W121-100,24.0,100.0,100.0,0.0,5.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,home,2021-04-17,2020,4683021,DeniAvdija,wsh
3,NO,W117-115 OT,20.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,home,2021-04-16,2020,4683021,DeniAvdija,wsh
4,SAC,W123-111,31.0,71.4,50.0,0.0,4.0,0.0,1.0,1.0,2.0,0.0,11.0,5.0,7.0,1.0,2.0,0.0,0.0,away,2021-04-14,2020,4683021,DeniAvdija,wsh
5,UTAH,W125-121,10.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,away,2021-04-12,2020,4683021,DeniAvdija,wsh
6,PHX,L134-106,31.0,33.3,50.0,75.0,6.0,2.0,0.0,0.0,4.0,1.0,9.0,2.0,6.0,2.0,4.0,3.0,4.0,away,2021-04-10,2020,4683021,DeniAvdija,wsh
7,GS,W110-107,21.0,0.0,0.0,50.0,4.0,3.0,0.0,2.0,1.0,0.0,2.0,0.0,6.0,0.0,3.0,2.0,4.0,away,2021-04-09,2020,4683021,DeniAvdija,wsh
8,ORL,W131-116,30.0,60.0,57.1,0.0,5.0,2.0,0.0,0.0,2.0,0.0,16.0,6.0,10.0,4.0,7.0,0.0,0.0,away,2021-04-07,2020,4683021,DeniAvdija,wsh
9,TOR,L103-101,40.0,40.0,33.3,100.0,10.0,1.0,1.0,0.0,1.0,0.0,12.0,4.0,10.0,2.0,6.0,2.0,2.0,away,2021-04-05,2020,4683021,DeniAvdija,wsh
